--------------------
BDMEP - INMET
--------------------
Estação           : IRAI - RS (OMM: 83881)
Latitude  (graus) : -27.18
Longitude (graus) : -53.23
Altitude  (metros): 247.10
Estação Operante
Inicio de operação: 01/06/1935
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83881;01/01/1961;0000;35.4;;25.64;78.75;1.333333;
83881;01/01/1961;1200;;18.8;;;;
83881;02/01/1961;0000;35.2;;26.4;81;1;
83881;02/01/1961;1200;;19.8;;;;
83881;03/01/1961;0000;36.8;;25;79.75;1.666667;
83881;03/01/1961;1200;;20;;;;
83881;04/01/1961;0000;33;;23.72;80;1;
83881;04/01/1961;1200;;18;;;;
83881;05/01/1961;0000;36.4;;25.64;70.75;2.333333;
83881;05/01/1961;1200;;17.2;;;;
83881;06/01/1961;0000;28.4;;22.04;92.75;0.666667;
83881;06/01/1961;1200;;18.6;;;;
83881;07/01/1961;0000;33;;23.08;79;1;
83881;07/01/1961;1200;;16.6;;;;
83881;08/01/1961;0000;34.8;;24.88;79.75;1.333333;
83881;08/01/1961;1200;;17.4;;;;
83881;09/01/1961;0000;35.6;;26.48;80.75;1.333333;
83881;09/01/1961;1200;;19.2;;;;
83881;10/01/1961;0000;29;;22.52;91;1.333333;
83881;10/01/1961;1200;;18;;;;
83881;11/01/1961;0000;34.4;;24.2;83;1.333333;
83881;11/01/1961;1200;;17.4;;;;
83881;12/01/1961;0000;36.8;;25.68;76.25;1.333333;
83881;12/01/1961;1200;;18.6;;;;
83881;13/01/1961;0000;36;;26.5;79.25;1.333333;
83881;13/01/1961;1200;;18.5;;;;
83881;14/01/1961;0000;36;;27;75.5;1;
83881;14/01/1961;1200;;20.4;;;;
83881;15/01/1961;0000;36.6;;26.92;76.75;0.666667;
83881;15/01/1961;1200;;20.4;;;;
83881;16/01/1961;0000;37;;27.64;81.25;1;
83881;16/01/1961;1200;;20.6;;;;
83881;17/01/1961;0000;34.6;;25.6;88.25;2.333333;
83881;17/01/1961;1200;;20.4;;;;
83881;18/01/1961;0000;35;;26.44;76.5;2;
83881;18/01/1961;1200;;19;;;;
83881;19/01/1961;0000;35.8;;27.32;76.5;1;
83881;19/01/1961;1200;;21;;;;
83881;20/01/1961;0000;37.8;;28.12;74.25;1.333333;
83881;20/01/1961;1200;;21.2;;;;
