--------------------
BDMEP - INMET
--------------------
Estação           : CHAPECO - SC (OMM: 83883)
Latitude  (graus) : -27.11
Longitude (graus) : -52.61
Altitude  (metros): 679.01
Estação Operante
Inicio de operação: 10/05/1973
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83883;01/07/1973;0000;20.2;;15.68;96;2.333333;
83883;01/07/1973;1200;;14.2;;;;
83883;02/07/1973;0000;16.2;;13.32;94.5;1;
83883;02/07/1973;1200;;11.8;;;;
83883;03/07/1973;0000;18;;13.78;87.25;1.666667;
83883;03/07/1973;1200;;12;;;;
83883;04/07/1973;0000;22;;15.68;69.25;3;
83883;04/07/1973;1200;;11.4;;;;
83883;05/07/1973;0000;21.6;;16.28;77;2.333333;
83883;05/07/1973;1200;;11.4;;;;
83883;06/07/1973;0000;25.2;;18.04;63;3;
83883;06/07/1973;1200;;12.9;;;;
83883;07/07/1973;0000;23.9;;19.62;65.25;6.333333;
83883;07/07/1973;1200;;15.6;;;;
83883;08/07/1973;0000;27;;22.02;63.75;7.666667;
83883;08/07/1973;1200;;18.7;;;;
83883;09/07/1973;0000;27;;22.62;57.75;5;
83883;09/07/1973;1200;;20.6;;;;
83883;10/07/1973;0000;27.2;;22.2;63.25;3.666667;
83883;10/07/1973;1200;;19.3;;;;
83883;11/07/1973;0000;26.9;;21.64;56.25;5.666667;
83883;11/07/1973;1200;;18.3;;;;
83883;12/07/1973;0000;25.3;;19.54;55.25;3.666667;
83883;12/07/1973;1200;;15.7;;;;
83883;13/07/1973;0000;25.7;;19.36;57;3.666667;
83883;13/07/1973;1200;;14.4;;;;
83883;14/07/1973;0000;22.2;;17.22;78;3.666667;
83883;14/07/1973;1200;;15.1;;;;
83883;15/07/1973;0000;15.5;;14.9;84.75;6.333333;
83883;15/07/1973;1200;;14;;;;
83883;16/07/1973;0000;17.7;;14.14;83.75;8.333333;
83883;16/07/1973;1200;;12;;;;
83883;17/07/1973;0000;12;;6.5;89.25;3.666667;
83883;17/07/1973;1200;;5;;;;
83883;18/07/1973;0000;12;;6.72;88.75;1.666667;
83883;18/07/1973;1200;;4.2;;;;
83883;19/07/1973;0000;12.7;;9.28;95.75;0.666667;
83883;19/07/1973;1200;;3.6;;;;
83883;20/07/1973;0000;14.9;;12.52;98.75;1;
83883;20/07/1973;1200;;7.7;;;;
83883;21/07/1973;0000;14.2;;9.2;100;3;
83883;21/07/1973;1200;;6.3;;;;
83883;22/07/1973;0000;8.8;;7.12;99;4.333333;
83883;22/07/1973;1200;;5.8;;;;
83883;23/07/1973;0000;11;;8.94;91;0.666667;
83883;23/07/1973;1200;;6.9;;;;
83883;24/07/1973;0000;17.1;;10.86;75.75;2.333333;
83883;24/07/1973;1200;;6.2;;;;
83883;25/07/1973;0000;17.5;;11.42;81.75;4.333333;
83883;25/07/1973;1200;;7.3;;;;
83883;26/07/1973;0000;12.3;;10.08;95.5;5;
83883;26/07/1973;1200;;9.1;;;;
83883;27/07/1973;0000;11;;7.38;92;1.333333;
83883;27/07/1973;1200;;4.2;;;;
83883;28/07/1973;0000;10.2;;8.02;95.5;2.666667;
83883;28/07/1973;1200;;6.8;;;;
83883;29/07/1973;0000;13;;9.4;81.75;2.333333;
83883;29/07/1973;1200;;7;;;;
83883;30/07/1973;0000;19.3;;12.04;80.5;1.666667;
83883;30/07/1973;1200;;5.8;;;;
83883;31/07/1973;0000;22.2;;15.56;58.75;0.333333;
83883;31/07/1973;1200;;9.8;;;;
83883;01/08/1973;0000;17.1;;12.84;96.25;2;
83883;01/08/1973;1200;;10.6;;;;
83883;02/08/1973;0000;16.2;;11.56;80.5;1.333333;
83883;02/08/1973;1200;;10.2;;;;
83883;03/08/1973;0000;15.8;;9.72;75.5;1;
83883;03/08/1973;1200;;3.4;;;;
83883;04/08/1973;0000;19.5;;12.58;70;0.333333;
