--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS NOVOS - SC (OMM: 83887)
Latitude  (graus) : -27.38
Longitude (graus) : -51.2
Altitude  (metros): 946.67
Estação Operante
Inicio de operação: 01/07/1923
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83887;01/01/1961;0000;25.6;;20.24;83.75;1.666667;
83887;01/01/1961;1200;;16.5;;;;
83887;02/01/1961;0000;29.4;;22.16;72.25;1.333333;
83887;02/01/1961;1200;;15.1;;;;
83887;03/01/1961;0000;32.2;;21.84;78.75;1;
83887;03/01/1961;1200;;15.7;;;;
83887;04/01/1961;0000;28.4;;20.92;74.25;1;
83887;04/01/1961;1200;;14.7;;;;
83887;05/01/1961;0000;27.6;;22.4;63.75;4.333333;
83887;05/01/1961;1200;;16.1;;;;
83887;06/01/1961;0000;23.8;;19.36;85.25;4.333333;
83887;06/01/1961;1200;;16.1;;;;
83887;07/01/1961;0000;28.2;;20.32;67.5;1.666667;
83887;07/01/1961;1200;;12.1;;;;
83887;08/01/1961;0000;28.2;;21.4;67.75;2.333333;
83887;08/01/1961;1200;;15.5;;;;
83887;09/01/1961;0000;29.6;;21.92;71.5;1.666667;
83887;09/01/1961;1200;;14.9;;;;
83887;10/01/1961;0000;25.6;;19.64;89.75;3;
83887;10/01/1961;1200;;16.1;;;;
83887;11/01/1961;0000;30.2;;22.12;71.25;1.666667;
83887;11/01/1961;1200;;13.1;;;;
83887;12/01/1961;0000;30.4;;22.96;64.5;3;
83887;12/01/1961;1200;;16.1;;;;
83887;13/01/1961;0000;29.8;;22.92;60.5;3;
83887;13/01/1961;1200;;14.9;;;;
83887;14/01/1961;0000;30.4;;23.56;65.5;1.666667;
83887;14/01/1961;1200;;17.5;;;;
83887;15/01/1961;0000;31.2;;23.84;69.5;1;
83887;15/01/1961;1200;;18.7;;;;
83887;16/01/1961;0000;32.4;;23.56;74.5;1.666667;
83887;16/01/1961;1200;;17.5;;;;
83887;17/01/1961;0000;31.4;;22.52;78.5;2.333333;
83887;17/01/1961;1200;;18.1;;;;
83887;18/01/1961;0000;28.2;;21.84;84.75;2.333333;
83887;18/01/1961;1200;;17.1;;;;
83887;19/01/1961;0000;30.2;;24.36;75.25;2;
83887;19/01/1961;1200;;18.7;;;;
83887;20/01/1961;0000;30.4;;24.6;71.25;1.666667;
83887;20/01/1961;1200;;18.1;;;;
83887;21/01/1961;0000;30.2;;22.76;85.5;1;
83887;21/01/1961;1200;;18.9;;;;
83887;22/01/1961;0000;28.6;;22.2;76.25;3;
83887;22/01/1961;1200;;17.1;;;;
83887;23/01/1961;0000;30.2;;21.8;73.25;1.666667;
83887;23/01/1961;1200;;15.7;;;;
83887;24/01/1961;0000;30.2;;22.48;54.25;1.666667;
83887;24/01/1961;1200;;14.9;;;;
83887;25/01/1961;0000;29.2;;20.04;77.25;1;
83887;25/01/1961;1200;;15.1;;;;
83887;26/01/1961;0000;20;;15.6;83.75;2.333333;
83887;26/01/1961;1200;;12.3;;;;
83887;27/01/1961;0000;20.6;;15.36;74;2.333333;
83887;27/01/1961;1200;;9.3;;;;
83887;28/01/1961;0000;22.2;;16.4;76;2.333333;
83887;28/01/1961;1200;;11.3;;;;
83887;29/01/1961;0000;24.8;;17.92;88.75;1.666667;
83887;29/01/1961;1200;;13.1;;;;
83887;30/01/1961;0000;28.4;;20.12;71.25;1;
83887;30/01/1961;1200;;12.3;;;;
83887;31/01/1961;0000;30.2;;22.64;56.5;2;
83887;31/01/1961;1200;;13.7;;;;
83887;01/02/1961;0000;31.6;;23.88;57.25;1.333333;
83887;01/02/1961;1200;;14.9;;;;
83887;02/02/1961;0000;28.4;;20.84;83;2.333333;
83887;02/02/1961;1200;;17.3;;;;
83887;03/02/1961;0000;28;;20.08;84.25;2.333333;
83887;03/02/1961;1200;;15.9;;;;
83887;04/02/1961;0000;27.8;;20.64;81.25;3;
83887;04/02/1961;1200;;16.1;;;;
83887;05/02/1961;0000;27;;20.12;87;2.333333;
83887;05/02/1961;1200;;16.5;;;;
83887;06/02/1961;0000;27.6;;21.76;81.25;2;
83887;06/02/1961;1200;;16.7;;;;
83887;07/02/1961;0000;28.8;;21.56;85.75;1;
83887;07/02/1961;1200;;17.9;;;;
83887;08/02/1961;0000;28.8;;21.44;75.75;1.333333;
83887;08/02/1961;1200;;14.9;;;;
83887;09/02/1961;0000;25.6;;20.6;79.5;2.333333;
83887;09/02/1961;1200;;16.3;;;;
83887;10/02/1961;0000;27.6;;21.8;77.75;3;
83887;10/02/1961;1200;;16.3;;;;
83887;11/02/1961;0000;25.8;;20.52;86.75;1.333333;
83887;11/02/1961;1200;;16.5;;;;
83887;12/02/1961;0000;26.8;;19.88;66.5;2.333333;
83887;12/02/1961;1200;;13.1;;;;
83887;13/02/1961;0000;28;;20.3;69.25;1;
83887;13/02/1961;1200;;12.7;;;;
83887;14/02/1961;0000;25.8;;18.64;73;5;
83887;14/02/1961;1200;;11.7;;;;
83887;15/02/1961;0000;22.2;;16.88;78.75;4.333333;
83887;15/02/1961;1200;;12.9;;;;
83887;16/02/1961;0000;24.8;;17.92;74.75;5.666667;
83887;16/02/1961;1200;;12.5;;;;
83887;17/02/1961;0000;25.2;;19.32;78;5;
83887;17/02/1961;1200;;15.3;;;;
83887;18/02/1961;0000;28.6;;20.12;80;2;
83887;18/02/1961;1200;;15.5;;;;
83887;19/02/1961;0000;27.2;;20;89.25;1.666667;
83887;19/02/1961;1200;;14.1;;;;
83887;20/02/1961;0000;28.6;;22;74.75;2.333333;
83887;20/02/1961;1200;;15.9;;;;
83887;21/02/1961;0000;28;;22.08;79.5;2.333333;
83887;21/02/1961;1200;;17.3;;;;
83887;22/02/1961;0000;28.2;;20.2;86.75;1.666667;
83887;22/02/1961;1200;;16.5;;;;
83887;23/02/1961;0000;26.8;;20.76;85.5;1;
83887;23/02/1961;1200;;15.9;;;;
83887;24/02/1961;0000;27.6;;22.32;79.25;1.666667;
83887;24/02/1961;1200;;16.9;;;;
83887;25/02/1961;0000;28.4;;23.64;82.25;2;
83887;25/02/1961;1200;;18.3;;;;
83887;26/02/1961;0000;27.4;;21.64;89.25;2.666667;
83887;26/02/1961;1200;;18.5;;;;
83887;27/02/1961;0000;25;;19.56;84.75;2.333333;
83887;27/02/1961;1200;;16.9;;;;
83887;28/02/1961;0000;21;;16.44;83;3;
83887;28/02/1961;1200;;12.1;;;;
83887;01/03/1961;0000;26.1;;18.5;79.5;3;
83887;01/03/1961;1200;;12.7;;;;
83887;02/03/1961;0000;28.2;;20.04;72.25;1.666667;
83887;02/03/1961;1200;;12.9;;;;
83887;03/03/1961;0000;29;;21.76;65.75;1.666667;
83887;03/03/1961;1200;;14.9;;;;
83887;04/03/1961;0000;29.8;;22.08;70.25;1.666667;
83887;04/03/1961;1200;;16.1;;;;
83887;05/03/1961;0000;21.6;;16.16;97;3.333333;
83887;05/03/1961;1200;;12.9;;;;
83887;06/03/1961;0000;17.5;;13.94;89.5;4.333333;
83887;06/03/1961;1200;;11.5;;;;
83887;07/03/1961;0000;21.4;;16.16;83;5;
83887;07/03/1961;1200;;11.1;;;;
83887;08/03/1961;0000;27.2;;19.68;81;1.666667;
83887;08/03/1961;1200;;14.1;;;;
83887;09/03/1961;0000;28.4;;21.88;77;1.666667;
83887;09/03/1961;1200;;15.5;;;;
83887;10/03/1961;0000;30.4;;21.68;73.75;3;
83887;10/03/1961;1200;;16.7;;;;
83887;11/03/1961;0000;20.6;;18.48;96.75;1.666667;
83887;11/03/1961;1200;;15.3;;;;
83887;12/03/1961;0000;25.6;;20.4;91.5;1.666667;
83887;12/03/1961;1200;;15.7;;;;
83887;13/03/1961;0000;20.6;;18.2;95.5;2.333333;
83887;13/03/1961;1200;;15.3;;;;
83887;14/03/1961;0000;23.6;;17.68;84.5;1;
83887;14/03/1961;1200;;12.9;;;;
83887;15/03/1961;0000;27.4;;20.96;85.25;1.666667;
83887;15/03/1961;1200;;15.3;;;;
83887;16/03/1961;0000;27.2;;21.96;81.25;3;
83887;16/03/1961;1200;;17.9;;;;
