--------------------
BDMEP - INMET
--------------------
Estação           : LAGES - SC (OMM: 83891)
Latitude  (graus) : -27.81
Longitude (graus) : -50.33
Altitude  (metros): 936.83
Estação Operante
Inicio de operação: 01/01/1914
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83891;01/01/1961;0000;23;;19.48;84.75;5;
83891;01/01/1961;1200;;16.6;;;;
83891;02/01/1961;0000;30.2;;23;64.75;1.333333;
83891;02/01/1961;1200;;15.6;;;;
83891;03/01/1961;0000;31.2;;20.6;82;4.333333;
83891;03/01/1961;1200;;17;;;;
83891;04/01/1961;0000;27.2;;21.08;74;3;
83891;04/01/1961;1200;;15.8;;;;
83891;05/01/1961;0000;26.6;;21.04;79;6;
83891;05/01/1961;1200;;17.2;;;;
83891;06/01/1961;0000;22;;19;92.5;3;
83891;06/01/1961;1200;;17.4;;;;
83891;07/01/1961;0000;27.8;;20.52;68.75;1.666667;
83891;07/01/1961;1200;;13.8;;;;
83891;08/01/1961;0000;27.2;;20.28;73.25;2;
83891;08/01/1961;1200;;14.4;;;;
83891;09/01/1961;0000;25.6;;19.8;80.75;4;
83891;09/01/1961;1200;;15.4;;;;
83891;10/01/1961;0000;27.2;;21.16;84.25;3.333333;
83891;10/01/1961;1200;;18.2;;;;
83891;11/01/1961;0000;29.2;;21.56;72;1.666667;
83891;11/01/1961;1200;;14.4;;;;
83891;12/01/1961;0000;28;;21.88;70;2.666667;
83891;12/01/1961;1200;;17.2;;;;
83891;13/01/1961;0000;28;;22.28;70.25;3.666667;
83891;13/01/1961;1200;;17.8;;;;
83891;14/01/1961;0000;29.8;;23.52;70;2.333333;
83891;14/01/1961;1200;;18;;;;
83891;15/01/1961;0000;31.2;;24.36;74.25;1.333333;
83891;15/01/1961;1200;;19.6;;;;
83891;16/01/1961;0000;32.6;;23.04;81;2.333333;
83891;16/01/1961;1200;;19.2;;;;
83891;17/01/1961;0000;29.8;;22.76;80.75;1;
83891;17/01/1961;1200;;18.2;;;;
83891;18/01/1961;0000;26.8;;21.92;89.5;1.666667;
83891;18/01/1961;1200;;19;;;;
83891;19/01/1961;0000;29.6;;23.12;81.25;0.666667;
