--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANOPOLIS - SC (OMM: 83897)
Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Altitude  (metros): 1.84
Estação Operante
Inicio de operação: 01/12/1921
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83897;01/07/1961;0000;23.3;;19.92;90.75;5.333333;
83897;01/07/1961;1200;;18.3;;;;
83897;02/07/1961;0000;25.7;;20.24;88;3.666667;
83897;02/07/1961;1200;;18.4;;;;
83897;03/07/1961;0000;22.7;;18.98;82.25;2.666667;
83897;03/07/1961;1200;;17.4;;;;
83897;04/07/1961;0000;22.7;;19.54;88;1;
83897;04/07/1961;1200;;17;;;;
83897;05/07/1961;0000;23.2;;19.54;90.5;2;
83897;05/07/1961;1200;;17.2;;;;
83897;06/07/1961;0000;23.5;;19.88;84.5;1;
83897;06/07/1961;1200;;16.6;;;;
83897;07/07/1961;0000;22.3;;15.56;85.75;8.333333;
83897;07/07/1961;1200;;12.5;;;;
83897;08/07/1961;0000;15.5;;13.74;91;5;
83897;08/07/1961;1200;;12.2;;;;
83897;09/07/1961;0000;17.6;;14.98;78.5;5;
83897;09/07/1961;1200;;13.4;;;;
83897;10/07/1961;0000;19.6;;16.16;83.25;1.333333;
83897;10/07/1961;1200;;14.2;;;;
83897;11/07/1961;0000;21.5;;17.06;80.5;1.666667;
83897;11/07/1961;1200;;13.8;;;;
83897;12/07/1961;0000;21.9;;17.64;85.5;5;
83897;12/07/1961;1200;;14;;;;
83897;13/07/1961;0000;24.9;;19.7;85.25;3.666667;
83897;13/07/1961;1200;;16;;;;
83897;14/07/1961;0000;21.7;;18.82;89.75;2.666667;
83897;14/07/1961;1200;;17.2;;;;
83897;15/07/1961;0000;23.7;;19.62;86;2;
83897;15/07/1961;1200;;16.7;;;;
83897;16/07/1961;0000;22.3;;19.58;87.75;1.333333;
83897;16/07/1961;1200;;18.2;;;;
83897;17/07/1961;0000;23.7;;19.72;89;5;
83897;17/07/1961;1200;;16.9;;;;
83897;18/07/1961;0000;24.6;;19.54;84.25;1;
83897;18/07/1961;1200;;17.5;;;;
83897;19/07/1961;0000;23.9;;19.28;85;4.333333;
83897;19/07/1961;1200;;16.3;;;;
83897;20/07/1961;0000;24.5;;20.6;84.75;5;
83897;20/07/1961;1200;;18.3;;;;
83897;21/07/1961;0000;24.7;;20.32;79.5;3.9;
83897;21/07/1961;1200;;18.2;;;;
83897;22/07/1961;0000;21.3;;17.7;65.25;4.666667;
83897;22/07/1961;1200;;16.2;;;;
83897;23/07/1961;0000;20.8;;17.22;85.75;4.333333;
83897;23/07/1961;1200;;13.9;;;;
83897;24/07/1961;0000;25.5;;18.82;76.5;1.666667;
83897;24/07/1961;1200;;15.2;;;;
83897;25/07/1961;0000;27.5;;21.26;75.75;2.333333;
83897;25/07/1961;1200;;16;;;;
83897;26/07/1961;0000;23.5;;15.44;83;9;
83897;26/07/1961;1200;;12.9;;;;
83897;27/07/1961;0000;17.7;;14.24;85;4;
83897;27/07/1961;1200;;11.7;;;;
83897;28/07/1961;0000;16.5;;13.12;73.5;3.733333;
83897;28/07/1961;1200;;11.7;;;;
83897;29/07/1961;0000;19.9;;14.38;76.75;0;
83897;29/07/1961;1200;;8.8;;;;
83897;30/07/1961;0000;20.1;;16.4;88.5;1;
83897;30/07/1961;1200;;13.7;;;;
83897;31/07/1961;0000;20.8;;16.6;76.75;2.666667;
83897;31/07/1961;1200;;13;;;;
83897;01/08/1961;0000;20.4;;17.08;81.5;0;
83897;01/08/1961;1200;;14.9;;;;
83897;02/08/1961;0000;18.2;;16.56;90.25;2.666667;
83897;02/08/1961;1200;;15.4;;;;
83897;03/08/1961;0000;22.4;;18.36;84.75;3.333333;
83897;03/08/1961;1200;;16;;;;
83897;04/08/1961;0000;23.3;;17.58;86.25;2;
