--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIZ GONZAGA - RS (OMM: 83907)
Latitude  (graus) : -28.4
Longitude (graus) : -55.01
Altitude  (metros): 245.11
Estação Operante
Inicio de operação: 01/04/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83907;01/01/1961;0000;33.3;;26.9;68.75;0;
83907;01/01/1961;1200;;18.8;;;;
83907;02/01/1961;0000;34.1;;26.96;67;1;
83907;02/01/1961;1200;;22.2;;;;
83907;03/01/1961;0000;34.5;;25.08;70.5;1.333333;
83907;03/01/1961;1200;;21.3;;;;
83907;04/01/1961;0000;31.4;;24.38;59;1.666667;
83907;04/01/1961;1200;;17.6;;;;
83907;05/01/1961;0000;32.1;;23.48;69.75;1.333333;
83907;05/01/1961;1200;;18.8;;;;
83907;06/01/1961;0000;27.1;;22.28;74.75;1.333333;
83907;06/01/1961;1200;;17.8;;;;
83907;07/01/1961;0000;29.6;;23.9;58.75;1.333333;
83907;07/01/1961;1200;;17;;;;
83907;08/01/1961;0000;33.9;;26.68;63.25;0.666667;
83907;08/01/1961;1200;;18;;;;
83907;09/01/1961;0000;34.3;;28.72;65.75;1;
83907;09/01/1961;1200;;22.8;;;;
83907;10/01/1961;0000;30.1;;24.8;87.75;1;
83907;10/01/1961;1200;;20.8;;;;
83907;11/01/1961;0000;31.3;;24.76;71.25;1;
83907;11/01/1961;1200;;17.7;;;;
83907;12/01/1961;0000;35.3;;27.96;64.25;0.666667;
83907;12/01/1961;1200;;18.6;;;;
83907;13/01/1961;0000;35.5;;29.72;58.75;0.666667;
83907;13/01/1961;1200;;23.2;;;;
83907;14/01/1961;0000;33.1;;27.96;68;2;
83907;14/01/1961;1200;;23.2;;;;
83907;15/01/1961;0000;34.4;;29.18;66;1.333333;
83907;15/01/1961;1200;;23.2;;;;
