--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Estação Operante
Inicio de operação: 02/02/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83912;01/01/1961;0000;31.4;;26.08;59.25;1.333333;
83912;01/01/1961;1200;;17.6;;;;
83912;02/01/1961;0000;32.8;;25.4;68;1.333333;
83912;02/01/1961;1200;;19.8;;;;
83912;03/01/1961;0000;32.4;;23.6;60.75;3.666667;
83912;03/01/1961;1200;;19;;;;
83912;04/01/1961;0000;28.4;;22.72;55.75;2;
83912;04/01/1961;1200;;15.4;;;;
83912;05/01/1961;0000;31.6;;25.44;55.25;1.333333;
83912;05/01/1961;1200;;16.4;;;;
83912;06/01/1961;0000;27.8;;21.8;71.25;2;
83912;06/01/1961;1200;;17;;;;
83912;07/01/1961;0000;29;;23.2;53;0.666667;
83912;07/01/1961;1200;;16;;;;
83912;08/01/1961;0000;31.4;;25.68;53.25;2;
83912;08/01/1961;1200;;16.2;;;;
83912;09/01/1961;0000;32.2;;27.12;60.25;2;
83912;09/01/1961;1200;;21;;;;
83912;10/01/1961;0000;28.4;;23.8;77.25;2.666667;
83912;10/01/1961;1200;;18.4;;;;
83912;11/01/1961;0000;29.6;;23.88;62;2;
83912;11/01/1961;1200;;17.4;;;;
83912;12/01/1961;0000;33.6;;26.6;55.75;2;
83912;12/01/1961;1200;;16.8;;;;
83912;13/01/1961;0000;35.2;;27.88;53;2;
83912;13/01/1961;1200;;20.4;;;;
83912;14/01/1961;0000;31.6;;27.32;60.25;2;
83912;14/01/1961;1200;;22.4;;;;
83912;15/01/1961;0000;33.4;;27.48;59.75;2;
83912;15/01/1961;1200;;22.4;;;;
83912;16/01/1961;0000;34.8;;29.2;60;2.666667;
83912;16/01/1961;1200;;23.8;;;;
83912;17/01/1961;0000;31;;22.72;82;3.333333;
83912;17/01/1961;1200;;18.4;;;;
83912;18/01/1961;0000;30.4;;22.76;73.25;4.333333;
83912;18/01/1961;1200;;17.8;;;;
83912;19/01/1961;0000;33.6;;27.56;64;1.333333;
83912;19/01/1961;1200;;19.8;;;;
83912;20/01/1961;0000;34.6;;29.28;58.25;1.333333;
