--------------------
BDMEP - INMET
--------------------
Estação           : PASSO FUNDO - RS (OMM: 83914)
Latitude  (graus) : -28.21
Longitude (graus) : -52.4
Altitude  (metros): 684.05
Estação Operante
Inicio de operação: 01/08/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83914;01/01/1961;0000;28.7;;23.46;72.25;1.666667;
83914;01/01/1961;1200;;17.4;;;;
83914;02/01/1961;0000;30.6;;24.02;69.75;2;
83914;02/01/1961;1200;;17.7;;;;
83914;03/01/1961;0000;32;;23.06;81.25;3;
83914;03/01/1961;1200;;18.5;;;;
83914;04/01/1961;0000;26.7;;20.8;74.75;2.333333;
83914;04/01/1961;1200;;16.5;;;;
83914;05/01/1961;0000;30.6;;24.36;59;2.333333;
83914;05/01/1961;1200;;17.2;;;;
83914;06/01/1961;0000;26.8;;21.72;72.5;1;
83914;06/01/1961;1200;;17;;;;
83914;07/01/1961;0000;26.8;;20.62;66.75;1.666667;
83914;07/01/1961;1200;;15.9;;;;
83914;08/01/1961;0000;29.6;;23.84;60.5;1.666667;
83914;08/01/1961;1200;;17.4;;;;
83914;09/01/1961;0000;30.2;;24.58;61.25;2;
83914;09/01/1961;1200;;18.3;;;;
83914;10/01/1961;0000;27.4;;20.9;93;3.666667;
83914;10/01/1961;1200;;17.5;;;;
83914;11/01/1961;0000;29.5;;22.1;73.75;2.333333;
83914;11/01/1961;1200;;17.9;;;;
83914;12/01/1961;0000;31.8;;25.16;55.25;1;
83914;12/01/1961;1200;;17.2;;;;
83914;13/01/1961;0000;30.9;;25.06;56.75;2;
83914;13/01/1961;1200;;19.2;;;;
83914;14/01/1961;0000;31.2;;25.44;67;2;
83914;14/01/1961;1200;;20.2;;;;
83914;15/01/1961;0000;31.6;;26.66;65.5;1.333333;
