--------------------
BDMEP - INMET
--------------------
Estação           : LAGOA VERMELHA - RS (OMM: 83916)
Latitude  (graus) : -28.21
Longitude (graus) : -51.5
Altitude  (metros): 840.00
Estação Operante
Inicio de operação: 01/06/1914
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83916;01/01/1961;0000;28.4;;19.48;83.25;2;
83916;01/01/1961;1200;;16.7;;;;
83916;02/01/1961;0000;31.3;;23.42;69.75;2;
83916;02/01/1961;1200;;16.8;;;;
83916;03/01/1961;0000;31.9;;21.74;83.25;2.333333;
83916;03/01/1961;1200;;17;;;;
83916;04/01/1961;0000;27.8;;22.32;70.5;2.333333;
83916;04/01/1961;1200;;16.5;;;;
83916;05/01/1961;0000;30.5;;23.66;60.25;2.333333;
83916;05/01/1961;1200;;16.7;;;;
83916;06/01/1961;0000;25.3;;19.46;90.25;2.333333;
83916;06/01/1961;1200;;17.2;;;;
83916;07/01/1961;0000;27.8;;20.48;62.75;2;
83916;07/01/1961;1200;;14;;;;
83916;08/01/1961;0000;29;;22.8;66;2.333333;
83916;08/01/1961;1200;;16.8;;;;
83916;09/01/1961;0000;30.8;;23.74;65.75;2.333333;
83916;09/01/1961;1200;;17;;;;
83916;10/01/1961;0000;25.5;;20.6;88.75;2;
83916;10/01/1961;1200;;17.7;;;;
83916;11/01/1961;0000;30.7;;22.14;74.75;2.333333;
83916;11/01/1961;1200;;16.2;;;;
83916;12/01/1961;0000;32.3;;24.98;60.25;2;
83916;12/01/1961;1200;;17.5;;;;
83916;13/01/1961;0000;31.6;;24.56;61.5;2;
83916;13/01/1961;1200;;17.7;;;;
83916;14/01/1961;0000;31.8;;25.42;63;1.333333;
83916;14/01/1961;1200;;19.4;;;;
83916;15/01/1961;0000;31.7;;25.84;71;1;
83916;15/01/1961;1200;;21;;;;
83916;16/01/1961;0000;31.3;;24.84;71.25;2;
