--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS - RS (OMM: 83919)
Latitude  (graus) : -28.66
Longitude (graus) : -50.43
Altitude  (metros): 1047.50
Estação Operante
Inicio de operação: 01/05/1948
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83919;05/02/1961;0000;24.6;;18.14;;3;
83919;05/02/1961;1200;;14.5;;;;
83919;06/02/1961;0000;24.9;;20.46;84.5;2;
83919;06/02/1961;1200;;16.4;;;;
83919;07/02/1961;0000;25.8;;20.72;89.25;1.333333;
83919;07/02/1961;1200;;17.5;;;;
83919;08/02/1961;0000;26.6;;19.28;82.5;1.333333;
83919;08/02/1961;1200;;15.6;;;;
83919;09/02/1961;0000;26.5;;19.02;81.25;2;
83919;09/02/1961;1200;;16;;;;
83919;10/02/1961;0000;26.2;;19.84;81.5;3.666667;
83919;10/02/1961;1200;;14.8;;;;
83919;11/02/1961;0000;24.5;;19.56;81.75;5;
83919;11/02/1961;1200;;17.3;;;;
83919;12/02/1961;0000;25.5;;18.46;53.25;1.666667;
83919;12/02/1961;1200;;13.2;;;;
83919;13/02/1961;0000;24.5;;17.66;79;3;
83919;13/02/1961;1200;;13.2;;;;
83919;14/02/1961;0000;21.4;;16.14;76;4;
83919;14/02/1961;1200;;13.2;;;;
83919;15/02/1961;0000;22.8;;16.2;73.5;4.333333;
83919;15/02/1961;1200;;10.6;;;;
83919;16/02/1961;0000;25;;17.6;71;5.333333;
83919;16/02/1961;1200;;12.7;;;;
83919;17/02/1961;0000;24.5;;18.62;84;3;
83919;17/02/1961;1200;;14.6;;;;
83919;18/02/1961;0000;23.8;;18.86;87.5;1;
83919;18/02/1961;1200;;14.9;;;;
83919;19/02/1961;0000;26.9;;19.46;83.25;1.666667;
83919;19/02/1961;1200;;14.6;;;;
83919;20/02/1961;0000;26.4;;20.54;86.75;1.666667;
83919;20/02/1961;1200;;17.3;;;;
83919;21/02/1961;0000;28.4;;20.86;86;3.666667;
83919;21/02/1961;1200;;17.8;;;;
83919;22/02/1961;0000;27.8;;21.34;85.5;1.333333;
83919;22/02/1961;1200;;17.5;;;;
83919;23/02/1961;0000;27.3;;20.32;84.5;3;
83919;23/02/1961;1200;;16.5;;;;
83919;24/02/1961;0000;25.3;;20.46;84;1;
83919;24/02/1961;1200;;17.2;;;;
83919;25/02/1961;0000;26.8;;21.9;82.75;1;
83919;25/02/1961;1200;;17.5;;;;
83919;26/02/1961;0000;23.8;;20.44;94.5;1;
83919;26/02/1961;1200;;18.2;;;;
83919;27/02/1961;0000;19.6;;16.22;93.25;2.666667;
83919;27/02/1961;1200;;14.4;;;;
83919;28/02/1961;0000;20.8;;15.7;81.75;4.333333;
83919;28/02/1961;1200;;13.1;;;;
83919;01/03/1961;0000;25.2;;16.82;79.5;1.333333;
83919;01/03/1961;1200;;12.5;;;;
83919;02/03/1961;0000;26.9;;17.8;79.25;2.666667;
83919;02/03/1961;1200;;12.3;;;;
83919;03/03/1961;0000;26.8;;20.36;72.25;2;
83919;03/03/1961;1200;;13.8;;;;
83919;04/03/1961;0000;25.8;;20.54;75.25;2;
83919;04/03/1961;1200;;16.5;;;;
83919;05/03/1961;0000;19.6;;14.86;90.25;4.666667;
83919;05/03/1961;1200;;12.3;;;;
83919;06/03/1961;0000;14.7;;12.6;87.25;7;
83919;06/03/1961;1200;;11.5;;;;
83919;07/03/1961;0000;20.9;;15.88;81.25;3;
83919;07/03/1961;1200;;11.9;;;;
83919;08/03/1961;0000;25.9;;17.78;91.5;2.666667;
83919;08/03/1961;1200;;13.6;;;;
83919;09/03/1961;0000;25.4;;19.62;85.5;2.333333;
83919;09/03/1961;1200;;14.5;;;;
83919;10/03/1961;0000;28.4;;21.7;85.25;2.333333;
83919;10/03/1961;1200;;16.8;;;;
83919;11/03/1961;0000;21.7;;18.96;96;2.666667;
