--------------------
BDMEP - INMET
--------------------
Estação           : SAO JOAQUIM - SC (OMM: 83920)
Latitude  (graus) : -28.3
Longitude (graus) : -49.93
Altitude  (metros): 1415.00
Estação Operante
Inicio de operação: 01/08/1954
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83920;01/01/1961;0000;22.4;;17.3;84.75;2;
83920;01/01/1961;1200;;15;;;;
83920;02/01/1961;0000;26.3;;18.36;76;1;
83920;02/01/1961;1200;;12.1;;;;
83920;03/01/1961;0000;26.6;;18.92;83.75;1.666667;
83920;03/01/1961;1200;;15.4;;;;
83920;04/01/1961;0000;23;;16.64;87.25;1.666667;
83920;04/01/1961;1200;;13.5;;;;
83920;05/01/1961;0000;25.1;;17.92;76.5;1;
83920;05/01/1961;1200;;12.6;;;;
83920;06/01/1961;0000;17.6;;15.18;95.5;1;
83920;06/01/1961;1200;;13.8;;;;
83920;07/01/1961;0000;24;;15.08;77.75;1;
83920;07/01/1961;1200;;11;;;;
83920;08/01/1961;0000;25.7;;16.94;78.25;1;
83920;08/01/1961;1200;;10.4;;;;
83920;09/01/1961;0000;27.1;;17.76;79.25;1;
83920;09/01/1961;1200;;11.8;;;;
83920;10/01/1961;0000;23.3;;18.22;80.25;1;
83920;10/01/1961;1200;;14.9;;;;
83920;11/01/1961;0000;24.2;;17.18;82;2.333333;
83920;11/01/1961;1200;;12.6;;;;
83920;12/01/1961;0000;27.6;;18.96;68.5;1;
83920;12/01/1961;1200;;12.6;;;;
83920;13/01/1961;0000;26;;19;79.25;1.666667;
83920;13/01/1961;1200;;14.4;;;;
83920;14/01/1961;0000;26.6;;19.26;70;1.666667;
83920;14/01/1961;1200;;14.5;;;;
83920;15/01/1961;0000;27.5;;20.18;77.25;2.333333;
83920;15/01/1961;1200;;15.4;;;;
83920;16/01/1961;0000;28;;20.78;86.75;1;
83920;16/01/1961;1200;;16.4;;;;
83920;17/01/1961;0000;25.3;;19.58;84.5;3.333333;
83920;17/01/1961;1200;;16.6;;;;
83920;18/01/1961;0000;20.1;;17.62;96;1.666667;
83920;18/01/1961;1200;;16;;;;
83920;19/01/1961;0000;26;;18.74;86.25;1.333333;
83920;19/01/1961;1200;;15.3;;;;
83920;20/01/1961;0000;27.8;;19.82;78.5;1.666667;
83920;20/01/1961;1200;;13.8;;;;
83920;21/01/1961;0000;24.8;;19.24;86;1;
83920;21/01/1961;1200;;13.6;;;;
83920;22/01/1961;0000;22.8;;16.74;86;2.666667;
83920;22/01/1961;1200;;13.6;;;;
83920;23/01/1961;0000;24.2;;16.32;83.75;1;
83920;23/01/1961;1200;;10.9;;;;
83920;24/01/1961;0000;27;;17.7;75.25;2.333333;
83920;24/01/1961;1200;;13.2;;;;
83920;25/01/1961;0000;23.2;;14.94;78.25;1.333333;
83920;25/01/1961;1200;;11;;;;
83920;26/01/1961;0000;16.4;;11.54;87.25;3.666667;
83920;26/01/1961;1200;;9.2;;;;
83920;27/01/1961;0000;17.4;;12.2;81;3;
83920;27/01/1961;1200;;8.4;;;;
83920;28/01/1961;0000;20;;12.9;84.25;1;
83920;28/01/1961;1200;;7.1;;;;
83920;29/01/1961;0000;21.5;;15.12;86.5;1;
83920;29/01/1961;1200;;11.6;;;;
83920;30/01/1961;0000;24;;16.36;76;1;
83920;30/01/1961;1200;;11;;;;
83920;31/01/1961;0000;26.1;;18.08;68.25;2.333333;
83920;31/01/1961;1200;;13.9;;;;
83920;01/02/1961;0000;27.3;;20.26;62.5;1.666667;
83920;01/02/1961;1200;;15;;;;
83920;02/02/1961;0000;24;;18.3;93;1.666667;
83920;02/02/1961;1200;;16;;;;
83920;03/02/1961;0000;22.2;;16.64;98.25;2.333333;
83920;03/02/1961;1200;;14.8;;;;
83920;04/02/1961;0000;23.8;;17.28;89.5;1;
83920;04/02/1961;1200;;12.2;;;;
83920;05/02/1961;0000;22.9;;17.26;87.25;1.666667;
83920;05/02/1961;1200;;13.4;;;;
83920;06/02/1961;0000;22.8;;18.08;82.5;2;
83920;06/02/1961;1200;;13.3;;;;
83920;07/02/1961;0000;26.2;;19.08;85.25;1.666667;
83920;07/02/1961;1200;;16;;;;
83920;08/02/1961;0000;23.5;;16.92;90.5;1.666667;
83920;08/02/1961;1200;;14.2;;;;
83920;09/02/1961;0000;24;;17.24;84.25;1.666667;
83920;09/02/1961;1200;;13;;;;
83920;10/02/1961;0000;23.6;;17.72;88.25;1;
83920;10/02/1961;1200;;13.9;;;;
83920;11/02/1961;0000;23.3;;17.58;84.75;4.333333;
83920;11/02/1961;1200;;13.6;;;;
83920;12/02/1961;0000;22.4;;16.54;62;1;
83920;12/02/1961;1200;;13;;;;
83920;13/02/1961;0000;22.8;;15.38;81.75;2.333333;
83920;13/02/1961;1200;;11.7;;;;
83920;14/02/1961;0000;18;;13.42;87;3.666667;
83920;14/02/1961;1200;;10.9;;;;
83920;15/02/1961;0000;19.8;;13.22;81;3;
83920;15/02/1961;1200;;7.8;;;;
83920;16/02/1961;0000;20.6;;14.2;89.5;3.333333;
83920;16/02/1961;1200;;10.6;;;;
83920;17/02/1961;0000;23.2;;16.32;84.5;1.666667;
83920;17/02/1961;1200;;10.5;;;;
83920;18/02/1961;0000;23.5;;16.92;95.75;1;
83920;18/02/1961;1200;;14.1;;;;
83920;19/02/1961;0000;24.2;;17.74;86;2;
83920;19/02/1961;1200;;13.1;;;;
83920;20/02/1961;0000;24.7;;18.38;82.5;2.333333;
83920;20/02/1961;1200;;13;;;;
83920;21/02/1961;0000;26;;18.2;87.5;1.333333;
83920;21/02/1961;1200;;15.8;;;;
83920;22/02/1961;0000;26.1;;18.74;84.25;1.666667;
83920;22/02/1961;1200;;14.4;;;;
83920;23/02/1961;0000;22;;17.84;92;1.666667;
83920;23/02/1961;1200;;15.2;;;;
83920;24/02/1961;0000;23.6;;18.18;96;2;
83920;24/02/1961;1200;;15;;;;
83920;25/02/1961;0000;25.6;;20.08;89;1.666667;
83920;25/02/1961;1200;;16.2;;;;
83920;26/02/1961;0000;22;;18.12;95.75;1;
83920;26/02/1961;1200;;16;;;;
83920;27/02/1961;0000;18.4;;14.36;94.75;3;
83920;27/02/1961;1200;;12;;;;
83920;28/02/1961;0000;19;;13.16;89;4;
83920;28/02/1961;1200;;9.7;;;;
83920;01/03/1961;0000;22.8;;14.62;84.25;1.666667;
83920;01/03/1961;1200;;9.2;;;;
83920;02/03/1961;0000;24.8;;16.26;75.75;1.333333;
83920;02/03/1961;1200;;10.1;;;;
83920;03/03/1961;0000;25;;18.22;64.5;1.666667;
83920;03/03/1961;1200;;12;;;;
83920;04/03/1961;0000;25.2;;19.26;77.5;1.333333;
83920;04/03/1961;1200;;15.9;;;;
83920;05/03/1961;0000;17.2;;13.42;98.25;3;
83920;05/03/1961;1200;;11.2;;;;
83920;06/03/1961;0000;12.7;;10.14;94;5.666667;
83920;06/03/1961;1200;;8.8;;;;
83920;07/03/1961;0000;19.6;;14.26;83.5;2.333333;
83920;07/03/1961;1200;;9;;;;
83920;08/03/1961;0000;24.5;;16.62;78.75;1.666667;
83920;08/03/1961;1200;;11.8;;;;
83920;09/03/1961;0000;24.7;;18.36;85.5;1.666667;
83920;09/03/1961;1200;;14.2;;;;
83920;10/03/1961;0000;26.6;;20.24;77.25;1.666667;
83920;10/03/1961;1200;;16;;;;
83920;11/03/1961;0000;19.4;;17.56;94.25;1.333333;
83920;11/03/1961;1200;;16.5;;;;
83920;12/03/1961;0000;22.8;;18.06;96.75;1.666667;
83920;12/03/1961;1200;;15.6;;;;
83920;13/03/1961;0000;17.6;;14.94;99.5;3.666667;
