--------------------
BDMEP - INMET
--------------------
Estação           : URUSSANGA - SC (OMM: 83923)
Latitude  (graus) : -28.51
Longitude (graus) : -49.31
Altitude  (metros): 48.17
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83923;01/01/1961;0000;29;;23.52;82.75;2.333333;
83923;01/01/1961;1200;;20.4;;;;
83923;02/01/1961;0000;33;;24.28;81;0;
83923;02/01/1961;1200;;17;;;;
83923;03/01/1961;0000;32.4;;24.84;78.75;1.666667;
83923;03/01/1961;1200;;17.2;;;;
83923;04/01/1961;0000;24.5;;21.12;90;0.333333;
83923;04/01/1961;1200;;17.1;;;;
83923;05/01/1961;0000;29;;23.04;87.5;1;
83923;05/01/1961;1200;;19.5;;;;
83923;06/01/1961;0000;26.4;;23.38;92.75;0.666667;
83923;06/01/1961;1200;;20.2;;;;
83923;07/01/1961;0000;28.3;;21.48;70.25;1.666667;
83923;07/01/1961;1200;;15.2;;;;
83923;08/01/1961;0000;31.7;;23.42;69.5;1.333333;
83923;08/01/1961;1200;;17;;;;
83923;09/01/1961;0000;34.6;;24.58;73.25;2;
83923;09/01/1961;1200;;14.2;;;;
83923;10/01/1961;0000;33.5;;25.62;83.5;1;
83923;10/01/1961;1200;;18.1;;;;
83923;11/01/1961;0000;26;;21.96;95.5;0;
83923;11/01/1961;1200;;19;;;;
83923;12/01/1961;0000;33.1;;23.9;81;1.666667;
83923;12/01/1961;1200;;16;;;;
83923;13/01/1961;0000;35.6;;27.34;66;3;
83923;13/01/1961;1200;;18.4;;;;
83923;14/01/1961;0000;38.2;;27.62;74;1.333333;
83923;14/01/1961;1200;;19.2;;;;
83923;15/01/1961;0000;38.5;;28.14;73.5;1.333333;
83923;15/01/1961;1200;;21;;;;
83923;16/01/1961;0000;37.1;;28.42;76.25;1.333333;
83923;16/01/1961;1200;;21.3;;;;
83923;17/01/1961;0000;39.5;;27.96;79;3;
83923;17/01/1961;1200;;22.7;;;;
83923;18/01/1961;0000;25.6;;23.72;95.25;0;
83923;18/01/1961;1200;;22.5;;;;
83923;19/01/1961;0000;32.5;;25.96;87.5;0.666667;
83923;19/01/1961;1200;;22.1;;;;
83923;20/01/1961;0000;35.8;;26.24;84.75;0;
83923;20/01/1961;1200;;19;;;;
83923;21/01/1961;0000;36.3;;26.44;80.75;2.666667;
83923;21/01/1961;1200;;19.5;;;;
83923;22/01/1961;0000;26.3;;22.1;94.5;2.666667;
83923;22/01/1961;1200;;19.5;;;;
83923;23/01/1961;0000;28.8;;22.72;77;1.666667;
83923;23/01/1961;1200;;18.5;;;;
83923;24/01/1961;0000;33.8;;23.34;75.5;2.333333;
83923;24/01/1961;1200;;15.5;;;;
83923;25/01/1961;0000;30;;21.58;94;1.333333;
83923;25/01/1961;1200;;15.4;;;;
83923;26/01/1961;0000;24;;18.68;96;0;
83923;26/01/1961;1200;;16.3;;;;
83923;27/01/1961;0000;27.6;;19.36;86.25;1;
83923;27/01/1961;1200;;14;;;;
83923;28/01/1961;0000;25.8;;19.2;87.5;1.333333;
83923;28/01/1961;1200;;12.6;;;;
83923;29/01/1961;0000;28.5;;22.02;81.5;0.666667;
83923;29/01/1961;1200;;16.3;;;;
83923;30/01/1961;0000;33;;23.14;75;1.333333;
83923;30/01/1961;1200;;13.7;;;;
83923;31/01/1961;0000;35;;23.38;79.25;2;
83923;31/01/1961;1200;;14.2;;;;
83923;01/02/1961;0000;38;;24.78;80.75;1.666667;
83923;01/02/1961;1200;;16.2;;;;
83923;02/02/1961;0000;32;;23.44;96.5;0;
83923;02/02/1961;1200;;17.7;;;;
83923;03/02/1961;0000;26.8;;22.86;94;0;
83923;03/02/1961;1200;;19.2;;;;
83923;04/02/1961;0000;30.4;;23.42;84.5;1;
83923;04/02/1961;1200;;18.4;;;;
83923;05/02/1961;0000;30;;23.46;90.25;0.666667;
83923;05/02/1961;1200;;18.9;;;;
83923;06/02/1961;0000;32.2;;24.14;87.75;0.333333;
83923;06/02/1961;1200;;19.5;;;;
83923;07/02/1961;0000;36.5;;26.24;82;2;
83923;07/02/1961;1200;;20.1;;;;
83923;08/02/1961;0000;28.7;;23.94;87;1;
83923;08/02/1961;1200;;19.3;;;;
83923;09/02/1961;0000;27;;22.74;88.5;0;
83923;09/02/1961;1200;;19.7;;;;
83923;10/02/1961;0000;31.2;;24.26;79.25;1.666667;
83923;10/02/1961;1200;;17.5;;;;
83923;11/02/1961;0000;32.7;;24.48;89.25;2.333333;
83923;11/02/1961;1200;;20.1;;;;
83923;12/02/1961;0000;32.6;;22.08;75;1.666667;
83923;12/02/1961;1200;;16;;;;
83923;13/02/1961;0000;31.5;;21.86;83.25;2.666667;
83923;13/02/1961;1200;;14.3;;;;
83923;14/02/1961;0000;24.5;;20.4;87;0.666667;
83923;14/02/1961;1200;;17.6;;;;
83923;15/02/1961;0000;28.8;;21.78;75.75;2.333333;
83923;15/02/1961;1200;;15.1;;;;
83923;16/02/1961;0000;27.3;;22;83.5;1;
83923;16/02/1961;1200;;16.1;;;;
83923;17/02/1961;0000;25.2;;22.02;89;1.333333;
83923;17/02/1961;1200;;16.9;;;;
83923;18/02/1961;0000;27;;23.22;93;0.666667;
