--------------------
BDMEP - INMET
--------------------
Estação           : URUGUAIANA - RS (OMM: 83927)
Latitude  (graus) : -29.75
Longitude (graus) : -57.08
Altitude  (metros): 62.31
Estação Operante
Inicio de operação: 01/02/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83927;01/01/1961;0000;32.2;;26.18;69.5;1;
83927;01/01/1961;1200;;19.3;;;;
83927;02/01/1961;0000;34.4;;29.12;66;1.666667;
83927;02/01/1961;1200;;24.3;;;;
83927;03/01/1961;0000;31.1;;25.44;72.25;4.333333;
83927;03/01/1961;1200;;20.7;;;;
83927;04/01/1961;0000;33.2;;25.82;68.5;2.333333;
83927;04/01/1961;1200;;17.5;;;;
83927;05/01/1961;0000;27;;21.1;89;2.333333;
83927;05/01/1961;1200;;17.5;;;;
83927;06/01/1961;0000;31;;23.5;69.5;5;
83927;06/01/1961;1200;;17.3;;;;
83927;07/01/1961;0000;31.6;;25.66;68;1.666667;
83927;07/01/1961;1200;;16.9;;;;
83927;08/01/1961;0000;34.2;;28.42;62.5;1.666667;
83927;08/01/1961;1200;;20.7;;;;
83927;09/01/1961;0000;33.8;;29.3;66.5;3;
83927;09/01/1961;1200;;23.7;;;;
83927;10/01/1961;0000;31;;25.06;65.5;5.666667;
83927;10/01/1961;1200;;19.9;;;;
83927;11/01/1961;0000;32;;25.7;62.75;5.666667;
83927;11/01/1961;1200;;17.3;;;;
83927;12/01/1961;0000;36.1;;28.32;61;2.333333;
83927;12/01/1961;1200;;18.3;;;;
83927;13/01/1961;0000;37.8;;30.94;67.5;1.666667;
83927;13/01/1961;1200;;22.7;;;;
83927;14/01/1961;0000;35.6;;31.14;67.75;1.666667;
83927;14/01/1961;1200;;25.9;;;;
83927;15/01/1961;0000;34;;30.06;64.5;1.666667;
83927;15/01/1961;1200;;26.3;;;;
83927;16/01/1961;0000;37.3;;30.72;63.75;2.333333;
83927;16/01/1961;1200;;25.1;;;;
83927;17/01/1961;0000;32.3;;26.68;72.75;2.333333;
83927;17/01/1961;1200;;21.7;;;;
83927;18/01/1961;0000;31;;26.42;68.25;1.666667;
83927;18/01/1961;1200;;21.7;;;;
83927;19/01/1961;0000;35.6;;28.98;70.75;1;
83927;19/01/1961;1200;;21.7;;;;
83927;20/01/1961;0000;37.4;;31.5;63.25;1.666667;
83927;20/01/1961;1200;;25.7;;;;
83927;21/01/1961;0000;35;;29.3;80;1;
83927;21/01/1961;1200;;25.5;;;;
83927;22/01/1961;0000;31.4;;25.74;66.25;1;
83927;22/01/1961;1200;;21.9;;;;
83927;23/01/1961;0000;36;;26.98;58.75;1;
83927;23/01/1961;1200;;17.9;;;;
83927;24/01/1961;0000;36.2;;28.26;60.75;3;
83927;24/01/1961;1200;;20.7;;;;
83927;25/01/1961;0000;28.2;;22.64;54.5;3.666667;
83927;25/01/1961;1200;;18.2;;;;
83927;26/01/1961;0000;28.1;;22.48;58.25;5.666667;
83927;26/01/1961;1200;;15.5;;;;
83927;27/01/1961;0000;30;;23.88;50.75;5;
83927;27/01/1961;1200;;15.4;;;;
83927;28/01/1961;0000;31.6;;25.62;58.5;2.333333;
83927;28/01/1961;1200;;17.5;;;;
83927;29/01/1961;0000;33.3;;25.32;58.25;1.666667;
83927;29/01/1961;1200;;18.7;;;;
83927;30/01/1961;0000;35.6;;29.08;54.75;1;
83927;30/01/1961;1200;;23.6;;;;
83927;31/01/1961;0000;37;;29.48;54.5;1.666667;
83927;31/01/1961;1200;;21.7;;;;
83927;01/02/1961;0000;31.6;;22.66;97;3;
83927;01/02/1961;1200;;17.5;;;;
83927;02/02/1961;0000;30;;23.96;75.75;1;
83927;02/02/1961;1200;;18.4;;;;
83927;03/02/1961;0000;32.2;;26.34;63.75;1;
83927;03/02/1961;1200;;20.3;;;;
83927;04/02/1961;0000;31.8;;24.9;73.25;2.333333;
83927;04/02/1961;1200;;20.3;;;;
83927;05/02/1961;0000;31.2;;26.46;60.5;2.333333;
83927;05/02/1961;1200;;20.3;;;;
83927;06/02/1961;0000;28.2;;24.56;61.75;1.666667;
83927;06/02/1961;1200;;23;;;;
83927;07/02/1961;0000;32.7;;26.4;61;2.333333;
83927;07/02/1961;1200;;20.3;;;;
83927;08/02/1961;0000;33;;26.22;59;3;
83927;08/02/1961;1200;;21;;;;
83927;09/02/1961;0000;31.8;;27.1;61.75;1.666667;
83927;09/02/1961;1200;;21.9;;;;
83927;10/02/1961;0000;32;;24.76;85;1;
83927;10/02/1961;1200;;22.2;;;;
83927;11/02/1961;0000;30.4;;24.62;66;1.666667;
83927;11/02/1961;1200;;20.9;;;;
83927;12/02/1961;0000;33.8;;27.18;61.75;0.666667;
83927;12/02/1961;1200;;19.5;;;;
83927;13/02/1961;0000;30.2;;25.14;67;3.666667;
83927;13/02/1961;1200;;21.7;;;;
83927;14/02/1961;0000;32;;23.9;78;3;
83927;14/02/1961;1200;;17.3;;;;
83927;15/02/1961;0000;33.2;;25.38;67;5;
83927;15/02/1961;1200;;22.9;;;;
83927;16/02/1961;0000;33;;24.7;85.25;2.333333;
83927;16/02/1961;1200;;21.3;;;;
83927;17/02/1961;0000;30.8;;24.08;84.25;0.333333;
83927;17/02/1961;1200;;21.5;;;;
83927;18/02/1961;0000;31.1;;25.08;76.5;1;
83927;18/02/1961;1200;;20.5;;;;
83927;19/02/1961;0000;31.4;;26.78;70.5;0.666667;
83927;19/02/1961;1200;;21.7;;;;
83927;20/02/1961;0000;34;;27.66;70;1;
83927;20/02/1961;1200;;22.9;;;;
83927;21/02/1961;0000;33.5;;26.16;88;1;
83927;21/02/1961;1200;;22.9;;;;
83927;22/02/1961;0000;33.8;;25.74;80.5;2.333333;
83927;22/02/1961;1200;;22.3;;;;
83927;23/02/1961;0000;30.8;;25.26;75;1.666667;
83927;23/02/1961;1200;;20.5;;;;
83927;24/02/1961;0000;32.8;;27.38;68.5;1.666667;
83927;24/02/1961;1200;;21.3;;;;
83927;25/02/1961;0000;34;;27.76;69.5;3;
83927;25/02/1961;1200;;24.6;;;;
83927;26/02/1961;0000;26.2;;22.66;78.75;1.666667;
83927;26/02/1961;1200;;20.5;;;;
83927;27/02/1961;0000;26.4;;21.28;66.5;4.333333;
83927;27/02/1961;1200;;17.2;;;;
83927;28/02/1961;0000;28.4;;22.18;66.75;5;
83927;28/02/1961;1200;;15.1;;;;
83927;01/03/1961;0000;30.4;;24.02;63.5;1.666667;
83927;01/03/1961;1200;;18.5;;;;
83927;02/03/1961;0000;32.8;;25.7;72.25;1;
83927;02/03/1961;1200;;20.9;;;;
83927;03/03/1961;0000;33.6;;24.14;75.25;3.666667;
83927;03/03/1961;1200;;17.9;;;;
83927;04/03/1961;0000;23.6;;21.26;83.25;2.333333;
83927;04/03/1961;1200;;18.3;;;;
83927;05/03/1961;0000;25;;20.46;62;7;
83927;05/03/1961;1200;;17.5;;;;
83927;06/03/1961;0000;26;;20.16;63.5;5.666667;
83927;06/03/1961;1200;;13.6;;;;
83927;07/03/1961;0000;26.6;;21.94;58.75;1;
83927;07/03/1961;1200;;17.1;;;;
83927;08/03/1961;0000;32.3;;25.28;61.25;1;
83927;08/03/1961;1200;;21.3;;;;
83927;09/03/1961;0000;33.2;;26.14;86.25;1;
83927;09/03/1961;1200;;21.3;;;;
83927;10/03/1961;0000;31.6;;25.54;75.75;1;
83927;10/03/1961;1200;;22.5;;;;
83927;11/03/1961;0000;25.3;;23.32;87.75;1.666667;
83927;11/03/1961;1200;;20.7;;;;
83927;12/03/1961;0000;27;;22.96;86;5;
83927;12/03/1961;1200;;21.6;;;;
83927;13/03/1961;0000;28.6;;22.62;71.5;1;
83927;13/03/1961;1200;;17.3;;;;
83927;14/03/1961;0000;29;;23.3;63.5;1.666667;
83927;14/03/1961;1200;;16.3;;;;
83927;15/03/1961;0000;32;;25.38;65.5;1;
83927;15/03/1961;1200;;18.1;;;;
83927;16/03/1961;0000;27;;18.26;97.5;3.666667;
83927;16/03/1961;1200;;14.1;;;;
83927;17/03/1961;0000;21.2;;15.74;77.5;2.333333;
83927;17/03/1961;1200;;10.9;;;;
83927;18/03/1961;0000;23.2;;18.1;67.75;1;
83927;18/03/1961;1200;;11.3;;;;
83927;19/03/1961;0000;24.2;;18.36;64.75;1;
83927;19/03/1961;1200;;13;;;;
83927;20/03/1961;0000;26;;21.26;65.25;1;
83927;20/03/1961;1200;;16.7;;;;
83927;21/03/1961;0000;27.2;;22.02;68;1;
83927;21/03/1961;1200;;17.3;;;;
83927;22/03/1961;0000;30.6;;23.38;60;2.333333;
83927;22/03/1961;1200;;16.1;;;;
83927;23/03/1961;0000;32.6;;26.34;66.5;1;
83927;23/03/1961;1200;;19.5;;;;
83927;24/03/1961;0000;34;;25.14;73.75;3.666667;
83927;24/03/1961;1200;;22.1;;;;
83927;25/03/1961;0000;26.6;;22.42;82.25;1.666667;
83927;25/03/1961;1200;;19.1;;;;
83927;26/03/1961;0000;23.6;;19.9;66.25;4.333333;
83927;26/03/1961;1200;;17.1;;;;
83927;27/03/1961;0000;23.8;;18.9;64.75;3.666667;
83927;27/03/1961;1200;;13.7;;;;
83927;28/03/1961;0000;25.3;;20.2;61.25;3.666667;
83927;28/03/1961;1200;;15.4;;;;
83927;29/03/1961;0000;27;;22.14;61.5;3.666667;
83927;29/03/1961;1200;;17.1;;;;
83927;30/03/1961;0000;29.6;;22.7;70;1;
83927;30/03/1961;1200;;16.9;;;;
83927;31/03/1961;0000;26;;21.42;86.25;2.333333;
83927;31/03/1961;1200;;17.7;;;;
83927;01/04/1961;0000;26;;20.8;76.25;1.666667;
83927;01/04/1961;1200;;18;;;;
83927;02/04/1961;0000;27.2;;20.74;62;1;
83927;02/04/1961;1200;;14.3;;;;
83927;03/04/1961;0000;25.6;;21.34;79.25;1.666667;
83927;03/04/1961;1200;;18.7;;;;
83927;04/04/1961;0000;24.6;;19.66;86;2.333333;
83927;04/04/1961;1200;;17.3;;;;
83927;05/04/1961;0000;26.6;;18.66;75.25;1.333333;
83927;05/04/1961;1200;;13.3;;;;
83927;06/04/1961;0000;22.2;;15.84;68.75;1.333333;
83927;06/04/1961;1200;;10.6;;;;
83927;07/04/1961;0000;29.3;;20.88;68;1.666667;
83927;07/04/1961;1200;;10.7;;;;
83927;08/04/1961;0000;28.6;;21.9;86.5;1;
83927;08/04/1961;1200;;16.9;;;;
83927;09/04/1961;0000;25;;21.66;72.5;1.666667;
83927;09/04/1961;1200;;18.1;;;;
83927;10/04/1961;0000;21.6;;20.46;97.5;1;
83927;10/04/1961;1200;;19.5;;;;
83927;11/04/1961;0000;26.1;;22.24;90;1;
83927;11/04/1961;1200;;19.5;;;;
83927;12/04/1961;0000;23.8;;17.62;91;1;
83927;12/04/1961;1200;;13.7;;;;
83927;13/04/1961;0000;21.5;;19.2;82;1;
83927;13/04/1961;1200;;16.7;;;;
83927;14/04/1961;0000;20.2;;18.62;91.25;1.666667;
83927;14/04/1961;1200;;16.7;;;;
83927;15/04/1961;0000;22.8;;20.34;77.5;1;
83927;15/04/1961;1200;;16.7;;;;
83927;16/04/1961;0000;25.6;;20.78;81.75;1;
83927;16/04/1961;1200;;16.7;;;;
83927;17/04/1961;0000;23.6;;21.24;94;1;
83927;17/04/1961;1200;;19.6;;;;
83927;18/04/1961;0000;24.6;;20.46;78.5;1.666667;
83927;18/04/1961;1200;;17.3;;;;
83927;19/04/1961;0000;21.6;;16.3;66.75;1;
83927;19/04/1961;1200;;11.1;;;;
83927;20/04/1961;0000;22.6;;16.78;69.25;2.333333;
83927;20/04/1961;1200;;11.3;;;;
83927;21/04/1961;0000;26.6;;21.26;67;3;
83927;21/04/1961;1200;;13.3;;;;
83927;22/04/1961;0000;25.6;;21.14;72.5;1;
83927;22/04/1961;1200;;17.9;;;;
83927;23/04/1961;0000;22.2;;17.38;68.25;2.333333;
83927;23/04/1961;1200;;13.1;;;;
83927;24/04/1961;0000;18;;12.54;69;2.333333;
83927;24/04/1961;1200;;9.1;;;;
83927;25/04/1961;0000;18.6;;12.98;70.5;1;
83927;25/04/1961;1200;;7.7;;;;
83927;26/04/1961;0000;22.5;;15.76;72;1;
83927;26/04/1961;1200;;7.7;;;;
83927;27/04/1961;0000;22.5;;17.64;65.5;1;
83927;27/04/1961;1200;;13.7;;;;
83927;28/04/1961;0000;21;;14.5;68;1.666667;
83927;28/04/1961;1200;;10.9;;;;
83927;29/04/1961;0000;25.6;;16.9;75;0;
83927;29/04/1961;1200;;7.5;;;;
83927;30/04/1961;0000;21;;17.48;75;1;
83927;30/04/1961;1200;;12;;;;
83927;01/05/1961;0000;25.4;;19.08;71;1.666667;
83927;01/05/1961;1200;;15.6;;;;
83927;02/05/1961;0000;24.2;;18.88;66.5;2.333333;
83927;02/05/1961;1200;;15;;;;
83927;03/05/1961;0000;24;;17.14;68.25;1;
83927;03/05/1961;1200;;12.5;;;;
83927;04/05/1961;0000;25.5;;19.2;68.25;1.666667;
83927;04/05/1961;1200;;13.3;;;;
83927;05/05/1961;0000;26.4;;20.14;64.5;1;
83927;05/05/1961;1200;;14.7;;;;
83927;06/05/1961;0000;21;;18.5;72.25;1;
83927;06/05/1961;1200;;16.3;;;;
83927;07/05/1961;0000;19.2;;15.46;68.25;1;
83927;07/05/1961;1200;;11.9;;;;
83927;08/05/1961;0000;24.4;;17.62;65.25;1;
83927;08/05/1961;1200;;11.3;;;;
83927;09/05/1961;0000;25.6;;18.82;69.75;1;
83927;09/05/1961;1200;;11.3;;;;
83927;10/05/1961;0000;22.6;;16.78;67.25;1;
83927;10/05/1961;1200;;12.3;;;;
83927;11/05/1961;0000;23.6;;17.9;65.25;2.333333;
83927;11/05/1961;1200;;12.3;;;;
83927;12/05/1961;0000;25.4;;19.7;64.5;1;
83927;12/05/1961;1200;;14.7;;;;
83927;13/05/1961;0000;26.4;;20.24;68.5;0.666667;
83927;13/05/1961;1200;;14;;;;
