--------------------
BDMEP - INMET
--------------------
Estação           : SANTA MARIA - RS (OMM: 83936)
Latitude  (graus) : -29.7
Longitude (graus) : -53.7
Altitude  (metros): 95.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83936;01/01/1961;0000;31.9;;25.86;73;1;
83936;01/01/1961;1200;;18.1;;;;
83936;02/01/1961;0000;34;;27.82;74.25;0.666667;
83936;02/01/1961;1200;;23.5;;;;
83936;03/01/1961;0000;31.6;;24.16;66.25;5;
83936;03/01/1961;1200;;20.1;;;;
83936;04/01/1961;0000;31.4;;24.48;58.25;1.333333;
83936;04/01/1961;1200;;17.4;;;;
83936;05/01/1961;0000;32.7;;23.3;73;2.333333;
83936;05/01/1961;1200;;16.4;;;;
83936;06/01/1961;0000;27.4;;22.42;77.75;2;
83936;06/01/1961;1200;;18.1;;;;
83936;07/01/1961;0000;29;;22.34;57.75;3;
83936;07/01/1961;1200;;14.6;;;;
83936;08/01/1961;0000;33.4;;25.42;65.5;1;
83936;08/01/1961;1200;;15.2;;;;
83936;09/01/1961;0000;35.8;;28.62;60.25;2.333333;
83936;09/01/1961;1200;;20.6;;;;
83936;10/01/1961;0000;31;;24.04;87.5;0.666667;
83936;10/01/1961;1200;;20;;;;
83936;11/01/1961;0000;29.4;;23.18;62.75;3;
83936;11/01/1961;1200;;17.3;;;;
83936;12/01/1961;0000;34.2;;25.96;69.75;2.333333;
83936;12/01/1961;1200;;16;;;;
83936;13/01/1961;0000;36.4;;29.44;56;4.333333;
83936;13/01/1961;1200;;21.7;;;;
83936;14/01/1961;0000;34.4;;30.06;58.25;4;
83936;14/01/1961;1200;;26.1;;;;
83936;15/01/1961;0000;35.9;;29.82;68;3.333333;
83936;15/01/1961;1200;;25.4;;;;
83936;16/01/1961;0000;36.2;;29.5;71;2;
83936;16/01/1961;1200;;23.6;;;;
83936;17/01/1961;0000;33;;25.54;84.75;3.333333;
83936;17/01/1961;1200;;20.7;;;;
83936;18/01/1961;0000;28.6;;24.04;78;4.333333;
83936;18/01/1961;1200;;20;;;;
83936;19/01/1961;0000;33.2;;26.82;75.75;3.666667;
83936;19/01/1961;1200;;19.6;;;;
83936;20/01/1961;0000;36.2;;29.3;69.5;1.333333;
83936;20/01/1961;1200;;22.7;;;;
83936;21/01/1961;0000;32.7;;27.48;74;3;
83936;21/01/1961;1200;;24.9;;;;
83936;22/01/1961;0000;27.9;;23.34;73.25;4.333333;
83936;22/01/1961;1200;;19.6;;;;
83936;23/01/1961;0000;31.8;;23.42;64.75;1.666667;
83936;23/01/1961;1200;;15.3;;;;
83936;24/01/1961;0000;33.6;;24.62;66.5;3;
83936;24/01/1961;1200;;16;;;;
83936;25/01/1961;0000;26.6;;21.36;70;4.333333;
83936;25/01/1961;1200;;19;;;;
83936;26/01/1961;0000;26.4;;20.34;64.5;5.666667;
83936;26/01/1961;1200;;14.4;;;;
83936;27/01/1961;0000;28.6;;21.92;62;5;
83936;27/01/1961;1200;;15.2;;;;
83936;28/01/1961;0000;30.4;;22.78;55.25;2.333333;
83936;28/01/1961;1200;;14.7;;;;
83936;29/01/1961;0000;31.6;;24.64;63.5;1;
83936;29/01/1961;1200;;16.6;;;;
83936;30/01/1961;0000;34.4;;25.96;58;1.666667;
83936;30/01/1961;1200;;18.4;;;;
83936;31/01/1961;0000;35.6;;27.7;57.75;1;
83936;31/01/1961;1200;;20.4;;;;
83936;01/02/1961;0000;35.4;;24.64;75.25;2;
83936;01/02/1961;1200;;20.2;;;;
83936;02/02/1961;0000;29.2;;24.08;74.75;2.666667;
83936;02/02/1961;1200;;18.4;;;;
83936;03/02/1961;0000;31;;25.24;68;5;
83936;03/02/1961;1200;;20.3;;;;
83936;04/02/1961;0000;31.3;;24.62;60.75;4.333333;
83936;04/02/1961;1200;;19.1;;;;
83936;05/02/1961;0000;33.2;;25.1;66.25;3;
83936;05/02/1961;1200;;17.9;;;;
83936;06/02/1961;0000;28.9;;24.68;85.75;1.333333;
83936;06/02/1961;1200;;21.2;;;;
83936;07/02/1961;0000;29;;24.52;81.25;1;
83936;07/02/1961;1200;;20.6;;;;
83936;08/02/1961;0000;31.2;;25.44;73.25;3;
83936;08/02/1961;1200;;20.6;;;;
83936;09/02/1961;0000;30.4;;23.84;69.75;5;
83936;09/02/1961;1200;;17.4;;;;
83936;10/02/1961;0000;33.9;;23.94;81.5;1.333333;
83936;10/02/1961;1200;;18.6;;;;
83936;11/02/1961;0000;28.6;;23.78;78;2.333333;
83936;11/02/1961;1200;;21;;;;
83936;12/02/1961;0000;31.4;;23.64;66;1.666667;
83936;12/02/1961;1200;;15.4;;;;
83936;13/02/1961;0000;29;;23.48;64.75;5;
83936;13/02/1961;1200;;20.6;;;;
83936;14/02/1961;0000;28.6;;21.3;62.25;8.333333;
83936;14/02/1961;1200;;14.1;;;;
83936;15/02/1961;0000;31.3;;23.94;61.75;3.666667;
83936;15/02/1961;1200;;15.8;;;;
83936;16/02/1961;0000;32.6;;25.66;57;7;
83936;16/02/1961;1200;;19.9;;;;
83936;17/02/1961;0000;34.3;;26.14;59.75;3.666667;
83936;17/02/1961;1200;;20;;;;
83936;18/02/1961;0000;32.4;;25.34;68.25;3.666667;
83936;18/02/1961;1200;;20.5;;;;
83936;19/02/1961;0000;31.6;;25.68;77.5;2.333333;
83936;19/02/1961;1200;;19;;;;
83936;20/02/1961;0000;33.1;;26.14;80.75;0.666667;
83936;20/02/1961;1200;;20.6;;;;
83936;21/02/1961;0000;33.8;;26.82;69.25;3;
83936;21/02/1961;1200;;21.6;;;;
83936;22/02/1961;0000;33.8;;25.9;75.5;5.666667;
83936;22/02/1961;1200;;22.3;;;;
83936;23/02/1961;0000;31.2;;24.8;80.25;3.666667;
83936;23/02/1961;1200;;20.8;;;;
83936;24/02/1961;0000;32.8;;26.38;71.75;5;
83936;24/02/1961;1200;;21.2;;;;
83936;25/02/1961;0000;36.5;;28.62;67.5;1.666667;
83936;25/02/1961;1200;;21.4;;;;
83936;26/02/1961;0000;30.4;;23.62;93.75;1.666667;
83936;26/02/1961;1200;;20.9;;;;
83936;27/02/1961;0000;23.8;;19.32;80.5;3;
83936;27/02/1961;1200;;16;;;;
83936;28/02/1961;0000;26.4;;20.46;72.25;5.666667;
83936;28/02/1961;1200;;14.8;;;;
83936;01/03/1961;0000;29.8;;22.62;75;1.666667;
