--------------------
BDMEP - INMET
--------------------
Estação           : BENTO GONCALVES - RS (OMM: 83941)
Latitude  (graus) : -29.15
Longitude (graus) : -51.51
Altitude  (metros): 640.00
Estação Operante
Inicio de operação: 01/02/1918
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83941;01/01/1961;0000;29;;22.9;75.75;1;
83941;01/01/1961;1200;;17;;;;
83941;02/01/1961;0000;31.5;;24.7;78;1;
83941;02/01/1961;1200;;18.5;;;;
83941;03/01/1961;0000;28.2;;21.64;82.5;0.666667;
83941;03/01/1961;1200;;19;;;;
83941;04/01/1961;0000;25.5;;19.8;75.25;1;
83941;04/01/1961;1200;;16;;;;
83941;05/01/1961;0000;30;;23.44;62.25;0.333333;
83941;05/01/1961;1200;;16;;;;
83941;06/01/1961;0000;26.5;;20.54;90.25;1;
83941;06/01/1961;1200;;18.2;;;;
83941;07/01/1961;0000;25;;17.1;74.25;1;
83941;07/01/1961;1200;;12;;;;
83941;08/01/1961;0000;30;;22.7;69;1;
83941;08/01/1961;1200;;15;;;;
83941;09/01/1961;0000;31;;24.3;65.75;0.666667;
83941;09/01/1961;1200;;18;;;;
83941;10/01/1961;0000;25.5;;20.5;88.5;1;
83941;10/01/1961;1200;;18;;;;
83941;11/01/1961;0000;24.5;;20;78;1;
83941;11/01/1961;1200;;16.5;;;;
83941;12/01/1961;0000;31.5;;24.4;63.25;1;
83941;12/01/1961;1200;;17;;;;
83941;13/01/1961;0000;31.5;;24.7;63.25;0.333333;
83941;13/01/1961;1200;;19;;;;
83941;14/01/1961;0000;32;;26.16;65.5;0.333333;
83941;14/01/1961;1200;;20.5;;;;
83941;15/01/1961;0000;32;;26.32;67.5;0.666667;
83941;15/01/1961;1200;;21.5;;;;
83941;16/01/1961;0000;32.5;;25.5;72.25;0;
83941;16/01/1961;1200;;22;;;;
83941;17/01/1961;0000;30.5;;22.14;84.25;1;
83941;17/01/1961;1200;;19;;;;
83941;18/01/1961;0000;24.5;;21.1;89;1;
83941;18/01/1961;1200;;19;;;;
83941;19/01/1961;0000;32;;25.4;75.25;0.666667;
83941;19/01/1961;1200;;19;;;;
83941;20/01/1961;0000;33;;25.8;75;1;
83941;20/01/1961;1200;;20;;;;
83941;21/01/1961;0000;31;;24;86.5;1;
83941;21/01/1961;1200;;21.5;;;;
83941;22/01/1961;0000;25.2;;19.74;79.5;1;
83941;22/01/1961;1200;;17;;;;
83941;23/01/1961;0000;29;;20.12;70.25;1;
83941;23/01/1961;1200;;13.6;;;;
83941;24/01/1961;0000;29;;21.9;66.25;1;
83941;24/01/1961;1200;;15.5;;;;
83941;25/01/1961;0000;24;;18.3;83.25;1;
83941;25/01/1961;1200;;15.5;;;;
83941;26/01/1961;0000;22;;17.3;79.75;1.666667;
83941;26/01/1961;1200;;12;;;;
83941;27/01/1961;0000;24;;17.9;71.75;1;
83941;27/01/1961;1200;;12;;;;
83941;28/01/1961;0000;26;;19.74;71.75;1;
83941;28/01/1961;1200;;12.5;;;;
83941;29/01/1961;0000;26.4;;20.7;72.75;1;
83941;29/01/1961;1200;;16.6;;;;
83941;30/01/1961;0000;30;;22.5;60.5;1;
83941;30/01/1961;1200;;15;;;;
83941;31/01/1961;0000;31.5;;24;64.75;1;
83941;31/01/1961;1200;;18;;;;
83941;01/02/1961;0000;33.5;;25.7;57.25;1;
83941;01/02/1961;1200;;19.5;;;;
83941;02/02/1961;0000;28;;22.9;73.25;1;
83941;02/02/1961;1200;;18;;;;
83941;03/02/1961;0000;26.6;;21.82;79.75;1;
83941;03/02/1961;1200;;19;;;;
83941;04/02/1961;0000;27.4;;21.92;75.75;1;
83941;04/02/1961;1200;;16.2;;;;
