--------------------
BDMEP - INMET
--------------------
Estação           : CAXIAS DO SUL - RS (OMM: 83942)
Latitude  (graus) : -29.16
Longitude (graus) : -51.2
Altitude  (metros): 759.60
Estação Operante
Inicio de operação: 12/04/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83942;01/01/1961;0000;27;;22.16;80;1.333333;
83942;01/01/1961;1200;;17.4;;;;
83942;02/01/1961;0000;31.2;;24;66.25;1.666667;
83942;02/01/1961;1200;;18.2;;;;
83942;03/01/1961;0000;28.6;;21.88;84.25;2;
83942;03/01/1961;1200;;19.6;;;;
83942;04/01/1961;0000;24.8;;18.4;83;2;
83942;04/01/1961;1200;;15.4;;;;
83942;05/01/1961;0000;28.2;;21.48;73.5;4;
83942;05/01/1961;1200;;15.6;;;;
83942;06/01/1961;0000;21.8;;18.36;95.75;2;
83942;06/01/1961;1200;;17.2;;;;
83942;07/01/1961;0000;24.6;;17.56;75;2;
83942;07/01/1961;1200;;10.6;;;;
83942;08/01/1961;0000;29.8;;21.6;64.5;2.666667;
83942;08/01/1961;1200;;14.4;;;;
83942;09/01/1961;0000;31.2;;23.48;68.25;2.666667;
83942;09/01/1961;1200;;17.6;;;;
83942;10/01/1961;0000;24.2;;20.72;89.75;2;
83942;10/01/1961;1200;;18.2;;;;
83942;11/01/1961;0000;25.2;;19.98;82;2.333333;
83942;11/01/1961;1200;;16.7;;;;
83942;12/01/1961;0000;30.4;;23.04;70;2.666667;
83942;12/01/1961;1200;;16.2;;;;
83942;13/01/1961;0000;30.2;;24.26;62.75;2.666667;
83942;13/01/1961;1200;;18.5;;;;
83942;14/01/1961;0000;30;;24.76;67.5;3.666667;
83942;14/01/1961;1200;;19.8;;;;
83942;15/01/1961;0000;30.2;;25.4;69.5;3;
83942;15/01/1961;1200;;21;;;;
83942;16/01/1961;0000;32.2;;25.8;67.75;3.333333;
83942;16/01/1961;1200;;21.9;;;;
83942;17/01/1961;0000;29.4;;22.28;78.75;3.333333;
83942;17/01/1961;1200;;19.4;;;;
83942;18/01/1961;0000;26.2;;21.08;88.25;2;
83942;18/01/1961;1200;;18.4;;;;
83942;19/01/1961;0000;31.4;;24.28;76.75;3.333333;
83942;19/01/1961;1200;;19;;;;
83942;20/01/1961;0000;33.2;;25.76;69;2.666667;
83942;20/01/1961;1200;;20;;;;
83942;21/01/1961;0000;28.8;;22.6;94.5;1.666667;
83942;21/01/1961;1200;;20.6;;;;
83942;22/01/1961;0000;24.8;;18.56;88.5;2;
83942;22/01/1961;1200;;16.4;;;;
83942;23/01/1961;0000;27.8;;20.64;67.75;2;
83942;23/01/1961;1200;;13.2;;;;
83942;24/01/1961;0000;29.2;;21.14;69.25;2.333333;
83942;24/01/1961;1200;;15.9;;;;
83942;25/01/1961;0000;20.7;;16.34;90.5;2.333333;
83942;25/01/1961;1200;;14;;;;
83942;26/01/1961;0000;22;;16.04;75.25;2.666667;
83942;26/01/1961;1200;;11.8;;;;
83942;27/01/1961;0000;22.6;;16.58;73.75;2.666667;
83942;27/01/1961;1200;;12.1;;;;
83942;28/01/1961;0000;26;;18.64;69;2;
83942;28/01/1961;1200;;12.4;;;;
83942;29/01/1961;0000;27;;19.68;76.5;2.333333;
83942;29/01/1961;1200;;16;;;;
83942;30/01/1961;0000;28.4;;21.68;63.25;1.666667;
83942;30/01/1961;1200;;16;;;;
83942;31/01/1961;0000;31;;23.72;59.5;1.666667;
83942;31/01/1961;1200;;18.8;;;;
83942;01/02/1961;0000;32.2;;24.84;57;2.666667;
83942;01/02/1961;1200;;20.2;;;;
83942;02/02/1961;0000;27.8;;21.34;82.25;2;
83942;02/02/1961;1200;;17.7;;;;
83942;03/02/1961;0000;26.4;;20.8;82.5;2.333333;
83942;03/02/1961;1200;;18.2;;;;
83942;04/02/1961;0000;28;;21.08;72.75;3;
83942;04/02/1961;1200;;15.2;;;;
83942;05/02/1961;0000;26.5;;20.7;85;3;
83942;05/02/1961;1200;;18.4;;;;
83942;06/02/1961;0000;27;;22.38;74.75;3;
83942;06/02/1961;1200;;18.4;;;;
83942;07/02/1961;0000;23.1;;20.74;89.75;2.666667;
83942;07/02/1961;1200;;19.4;;;;
83942;08/02/1961;0000;26;;20.84;82.75;1.666667;
83942;08/02/1961;1200;;17.4;;;;
83942;09/02/1961;0000;27.4;;20.2;78;2.666667;
83942;09/02/1961;1200;;15.4;;;;
83942;10/02/1961;0000;29.2;;22.96;72.75;2.666667;
83942;10/02/1961;1200;;18;;;;
83942;11/02/1961;0000;24.6;;20.56;85.75;2.333333;
83942;11/02/1961;1200;;19;;;;
83942;12/02/1961;0000;27.2;;20.2;55.25;1.333333;
