--------------------
BDMEP - INMET
--------------------
Estação           : TORRES - RS (OMM: 83948)
Latitude  (graus) : -29.35
Longitude (graus) : -49.73
Altitude  (metros): 4.66
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83948;01/01/1961;0000;26;;23.32;91;6;
83948;01/01/1961;1200;;20.8;;;;
83948;02/01/1961;0000;25.4;;23.16;85.75;6;
83948;02/01/1961;1200;;19.6;;;;
83948;03/01/1961;0000;26.6;;23.4;81;4.666667;
83948;03/01/1961;1200;;20.8;;;;
83948;04/01/1961;0000;23.2;;20.48;80.75;5.333333;
83948;04/01/1961;1200;;16;;;;
83948;05/01/1961;0000;25;;23.04;84.5;8;
83948;05/01/1961;1200;;19.8;;;;
83948;06/01/1961;0000;24;;21.96;87.25;5.333333;
83948;06/01/1961;1200;;20;;;;
83948;07/01/1961;0000;22.8;;20.6;59;6;
83948;07/01/1961;1200;;15.8;;;;
83948;08/01/1961;0000;23.8;;21.8;69.25;11.333333;
83948;08/01/1961;1200;;18;;;;
83948;09/01/1961;0000;24.8;;21.96;85.5;10.666667;
83948;09/01/1961;1200;;17.2;;;;
83948;10/01/1961;0000;25.8;;22.8;84.5;5.333333;
83948;10/01/1961;1200;;20.4;;;;
83948;11/01/1961;0000;24;;22.16;80.25;6.666667;
83948;11/01/1961;1200;;20;;;;
83948;12/01/1961;0000;25.2;;22.68;85.5;4.666667;
83948;12/01/1961;1200;;17.8;;;;
83948;13/01/1961;0000;24.8;;22.88;87.25;8;
83948;13/01/1961;1200;;20.6;;;;
83948;14/01/1961;0000;25;;22.88;88;6.666667;
83948;14/01/1961;1200;;21;;;;
83948;15/01/1961;0000;24.4;;22.88;91.25;4.666667;
83948;15/01/1961;1200;;20.6;;;;
83948;16/01/1961;0000;24.8;;22.04;95;5.333333;
83948;16/01/1961;1200;;20.2;;;;
83948;17/01/1961;0000;28;;24.24;88.75;3.333333;
83948;17/01/1961;1200;;20.2;;;;
83948;18/01/1961;0000;24;;22.44;94;5.333333;
83948;18/01/1961;1200;;21.4;;;;
83948;19/01/1961;0000;26.4;;24.04;94.25;3.333333;
83948;19/01/1961;1200;;21.4;;;;
83948;20/01/1961;0000;25.8;;23.8;92.75;6;
83948;20/01/1961;1200;;21.8;;;;
83948;21/01/1961;0000;26.8;;23.64;94;6.666667;
83948;21/01/1961;1200;;20.8;;;;
83948;22/01/1961;0000;24.2;;22.64;77.25;9.333333;
83948;22/01/1961;1200;;21.4;;;;
83948;23/01/1961;0000;24.6;;22.84;68;8;
83948;23/01/1961;1200;;19.8;;;;
83948;24/01/1961;0000;25.8;;22;77.25;3.333333;
83948;24/01/1961;1200;;16;;;;
83948;25/01/1961;0000;23.6;;21.56;75;9.333333;
83948;25/01/1961;1200;;19;;;;
83948;26/01/1961;0000;23.4;;21.24;66;6;
83948;26/01/1961;1200;;18.4;;;;
83948;27/01/1961;0000;24.4;;20.8;73.75;4.666667;
83948;27/01/1961;1200;;16.4;;;;
83948;28/01/1961;0000;23.8;;20.96;78.25;2;
83948;28/01/1961;1200;;16.8;;;;
83948;29/01/1961;0000;25.2;;21.84;82.25;4.666667;
83948;29/01/1961;1200;;18;;;;
83948;30/01/1961;0000;24.8;;21.84;81.25;3.333333;
83948;30/01/1961;1200;;17.4;;;;
83948;31/01/1961;0000;26.2;;23.36;81.5;2.666667;
83948;31/01/1961;1200;;18.4;;;;
83948;01/02/1961;0000;27.4;;24.32;85.25;2.666667;
83948;01/02/1961;1200;;19.6;;;;
83948;02/02/1961;0000;26.2;;23.88;89.75;4;
83948;02/02/1961;1200;;22;;;;
83948;03/02/1961;0000;25.8;;23.92;80;4.666667;
83948;03/02/1961;1200;;21.8;;;;
83948;04/02/1961;0000;26.2;;23.68;71.75;6;
83948;04/02/1961;1200;;19.8;;;;
83948;05/02/1961;0000;26.2;;23.12;82.25;4.666667;
83948;05/02/1961;1200;;20.4;;;;
83948;06/02/1961;0000;26.6;;22.72;90.5;4;
83948;06/02/1961;1200;;20.2;;;;
83948;07/02/1961;0000;28.8;;24.36;88.25;3.333333;
83948;07/02/1961;1200;;21.6;;;;
83948;08/02/1961;0000;27;;23.68;85;5.333333;
83948;08/02/1961;1200;;21.2;;;;
83948;09/02/1961;0000;26;;23.44;73.5;3.333333;
83948;09/02/1961;1200;;20.6;;;;
83948;10/02/1961;0000;26;;23.36;79.75;9.333333;
83948;10/02/1961;1200;;20;;;;
83948;11/02/1961;0000;28;;23.36;88.75;8;
83948;11/02/1961;1200;;20.6;;;;
83948;12/02/1961;0000;26.2;;23.48;64.25;2.666667;
83948;12/02/1961;1200;;18;;;;
83948;13/02/1961;0000;28;;23.28;72;8.666667;
83948;13/02/1961;1200;;19.4;;;;
83948;14/02/1961;0000;25.2;;21.8;66.75;7.333333;
83948;14/02/1961;1200;;17.2;;;;
83948;15/02/1961;0000;25.4;;22.28;73.75;10.666667;
83948;15/02/1961;1200;;17.8;;;;
83948;16/02/1961;0000;25.8;;23.2;81;8.666667;
83948;16/02/1961;1200;;21.6;;;;
83948;17/02/1961;0000;24.6;;21.88;88.25;6;
83948;17/02/1961;1200;;19.6;;;;
83948;18/02/1961;0000;26.6;;22.72;91.75;5.333333;
83948;18/02/1961;1200;;20.2;;;;
83948;19/02/1961;0000;24.8;;22.36;94;3.333333;
83948;19/02/1961;1200;;19;;;;
83948;20/02/1961;0000;25;;22.04;94.25;5.333333;
83948;20/02/1961;1200;;20;;;;
83948;21/02/1961;0000;24.4;;21.76;91.5;4.666667;
83948;21/02/1961;1200;;19.2;;;;
83948;22/02/1961;0000;25;;21.76;94;2;
83948;22/02/1961;1200;;19.2;;;;
83948;23/02/1961;0000;25.6;;23.68;93.25;5.333333;
83948;23/02/1961;1200;;20.6;;;;
83948;24/02/1961;0000;27.2;;23.44;94;3.333333;
83948;24/02/1961;1200;;20.6;;;;
83948;25/02/1961;0000;26.6;;24.52;91;4.666667;
83948;25/02/1961;1200;;22.2;;;;
83948;26/02/1961;0000;25.6;;23.04;96.25;5.666667;
83948;26/02/1961;1200;;21.2;;;;
83948;27/02/1961;0000;23.6;;22.16;78.25;11.333333;
83948;27/02/1961;1200;;20.6;;;;
83948;28/02/1961;0000;23.8;;21.52;69.5;5.333333;
83948;28/02/1961;1200;;18.8;;;;
83948;01/03/1961;0000;25.2;;22.2;69.75;6.333333;
83948;01/03/1961;1200;;18.2;;;;
83948;02/03/1961;0000;25.6;;21.88;78.5;10.333333;
83948;02/03/1961;1200;;17.8;;;;
