--------------------
BDMEP - INMET
--------------------
Estação           : SANTANA DO LIVRAMENTO - RS (OMM: 83953)
Latitude  (graus) : -30.83
Longitude (graus) : -55.6
Altitude  (metros): 328.00
Estação Operante
Inicio de operação: 01/06/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83953;01/01/1961;0000;34.5;;26.94;72.5;0.666667;
83953;01/01/1961;1200;;16.4;;;;
83953;02/01/1961;0000;31.7;;26.56;63;0.666667;
83953;02/01/1961;1200;;20.7;;;;
83953;03/01/1961;0000;29.7;;22.3;65.5;0.333333;
83953;03/01/1961;1200;;17.4;;;;
83953;04/01/1961;0000;31.1;;23.46;53;0;
83953;04/01/1961;1200;;14.5;;;;
83953;05/01/1961;0000;27.7;;22.98;63;0.333333;
83953;05/01/1961;1200;;17.7;;;;
83953;06/01/1961;0000;29.6;;23.04;53.75;0.666667;
83953;06/01/1961;1200;;16.4;;;;
83953;07/01/1961;0000;31.5;;22.36;61.25;0.666667;
83953;07/01/1961;1200;;12.2;;;;
83953;08/01/1961;0000;35.2;;25.38;70.25;0.666667;
83953;08/01/1961;1200;;15.5;;;;
83953;09/01/1961;0000;37.2;;29.98;56;1.333333;
83953;09/01/1961;1200;;21.7;;;;
83953;10/01/1961;0000;31.1;;23.7;62.25;2;
83953;10/01/1961;1200;;19;;;;
83953;11/01/1961;0000;30.5;;23.24;49.75;0.666667;
83953;11/01/1961;1200;;14.2;;;;
83953;12/01/1961;0000;34.2;;24.96;63.25;0.333333;
83953;12/01/1961;1200;;15.2;;;;
83953;13/01/1961;0000;36.5;;28.94;68;0.333333;
83953;13/01/1961;1200;;21.5;;;;
83953;14/01/1961;0000;32.7;;28.3;77;1.333333;
83953;14/01/1961;1200;;24.3;;;;
83953;15/01/1961;0000;29.7;;24.38;80.25;0.666667;
83953;15/01/1961;1200;;20.7;;;;
83953;16/01/1961;0000;32.9;;26.8;79;0;
83953;16/01/1961;1200;;20.7;;;;
83953;17/01/1961;0000;27.1;;21.84;96.25;1.333333;
83953;17/01/1961;1200;;19.5;;;;
83953;18/01/1961;0000;30.2;;24.08;73.5;1;
83953;18/01/1961;1200;;18;;;;
83953;19/01/1961;0000;34;;26.84;81.75;0;
83953;19/01/1961;1200;;19.8;;;;
83953;20/01/1961;0000;36.2;;29.9;71.5;1;
83953;20/01/1961;1200;;23.4;;;;
83953;21/01/1961;0000;30.4;;25.84;82.75;0.666667;
83953;21/01/1961;1200;;23.7;;;;
83953;22/01/1961;0000;30.4;;23.38;63.25;1;
83953;22/01/1961;1200;;17.7;;;;
