--------------------
BDMEP - INMET
--------------------
Estação           : ENCRUZILHADA DO SUL - RS (OMM: 83964)
Latitude  (graus) : -30.53
Longitude (graus) : -52.51
Altitude  (metros): 427.75
Estação Operante
Inicio de operação: 01/05/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83964;21/01/1961;0000;34.1;;23.38;85.5;1.333333;
83964;21/01/1961;1200;;19.1;;;;
83964;22/01/1961;0000;24.8;;19.46;73.5;1;
83964;22/01/1961;1200;;17.1;;;;
83964;23/01/1961;0000;28;;21.26;62.5;0;
83964;23/01/1961;1200;;15.5;;;;
83964;24/01/1961;0000;28.4;;21.76;70.25;0.666667;
83964;24/01/1961;1200;;17.3;;;;
83964;25/01/1961;0000;20.8;;17.66;75.75;1;
83964;25/01/1961;1200;;16.1;;;;
83964;26/01/1961;0000;22.4;;17.4;74.5;1.666667;
83964;26/01/1961;1200;;14.1;;;;
83964;27/01/1961;0000;24.8;;18.9;67;1;
83964;27/01/1961;1200;;14.9;;;;
83964;28/01/1961;0000;24.1;;18.86;68.75;0.333333;
83964;28/01/1961;1200;;11.2;;;;
83964;29/01/1961;0000;29.4;;21.62;69.25;0;
83964;29/01/1961;1200;;17.7;;;;
83964;30/01/1961;0000;31;;24.2;59.75;0;
83964;30/01/1961;1200;;19.2;;;;
83964;31/01/1961;0000;32.6;;25.6;61.5;0.666667;
83964;31/01/1961;1200;;19.7;;;;
83964;01/02/1961;0000;32.6;;23.34;69.5;0.666667;
83964;01/02/1961;1200;;19.1;;;;
83964;02/02/1961;0000;28.6;;21.88;84.25;1;
83964;02/02/1961;1200;;18.2;;;;
83964;03/02/1961;0000;27.6;;21.76;75.75;1;
83964;03/02/1961;1200;;18.9;;;;
83964;04/02/1961;0000;27.8;;20.66;70.25;0.666667;
83964;04/02/1961;1200;;16.1;;;;
83964;05/02/1961;0000;28.5;;22.26;76;0.666667;
83964;05/02/1961;1200;;17.1;;;;
83964;06/02/1961;0000;27.6;;22.94;78.75;0.666667;
83964;06/02/1961;1200;;19.3;;;;
83964;07/02/1961;0000;28;;22.98;79.75;0.333333;
83964;07/02/1961;1200;;20.5;;;;
83964;08/02/1961;0000;27;;21.18;78.5;1;
83964;08/02/1961;1200;;19.3;;;;
83964;09/02/1961;0000;27.6;;20.46;68.5;1;
83964;09/02/1961;1200;;15.3;;;;
83964;10/02/1961;0000;29.1;;23.68;75.5;0.333333;
83964;10/02/1961;1200;;17.1;;;;
83964;11/02/1961;0000;27.4;;22.14;70;1;
83964;11/02/1961;1200;;19.1;;;;
83964;12/02/1961;0000;29.6;;24.22;49.5;0.333333;
83964;12/02/1961;1200;;17.9;;;;
83964;13/02/1961;0000;25.8;;19.14;67.75;1.666667;
83964;13/02/1961;1200;;16.7;;;;
83964;14/02/1961;0000;26;;19.4;62.25;1.666667;
83964;14/02/1961;1200;;14.5;;;;
83964;15/02/1961;0000;28.1;;21.02;64.5;1;
83964;15/02/1961;1200;;16.3;;;;
83964;16/02/1961;0000;28.2;;21.6;69;1;
83964;16/02/1961;1200;;17.1;;;;
83964;17/02/1961;0000;30.1;;23.54;61.25;1;
83964;17/02/1961;1200;;18.1;;;;
83964;18/02/1961;0000;30.1;;23.78;74;0.666667;
83964;18/02/1961;1200;;20.5;;;;
83964;19/02/1961;0000;29.2;;23.64;78.75;1;
83964;19/02/1961;1200;;19.2;;;;
83964;20/02/1961;0000;30.6;;23.66;66.25;0.666667;
83964;20/02/1961;1200;;18.1;;;;
83964;21/02/1961;0000;32.1;;24.82;71.75;0.333333;
83964;21/02/1961;1200;;21.2;;;;
83964;22/02/1961;0000;32.2;;23.12;83;0.333333;
83964;22/02/1961;1200;;20.2;;;;
83964;23/02/1961;0000;25.1;;21.18;93.75;2.333333;
83964;23/02/1961;1200;;19.6;;;;
83964;24/02/1961;0000;26;;22.3;88.75;1;
83964;24/02/1961;1200;;20.1;;;;
83964;25/02/1961;0000;31.2;;25.92;74;0;
83964;25/02/1961;1200;;20.2;;;;
83964;26/02/1961;0000;27.8;;20.36;95.25;1;
83964;26/02/1961;1200;;17.2;;;;
83964;27/02/1961;0000;21.2;;16.9;78.5;1.666667;
83964;27/02/1961;1200;;15.3;;;;
83964;28/02/1961;0000;23.2;;17.98;72.75;1;
83964;28/02/1961;1200;;14.1;;;;
83964;01/03/1961;0000;26.1;;20.16;75.75;0.333333;
83964;01/03/1961;1200;;15.3;;;;
83964;02/03/1961;0000;28.8;;22.42;70.75;0.666667;
83964;02/03/1961;1200;;16.3;;;;
83964;03/03/1961;0000;30.6;;20.32;83.25;2;
83964;03/03/1961;1200;;16.6;;;;
83964;04/03/1961;0000;21.6;;19.16;88;1;
83964;04/03/1961;1200;;16.2;;;;
83964;05/03/1961;0000;20.4;;16.64;78.5;1.666667;
83964;05/03/1961;1200;;15.6;;;;
83964;06/03/1961;0000;21.4;;15.86;77;1;
83964;06/03/1961;1200;;11.1;;;;
83964;07/03/1961;0000;24;;19.26;76;1;
83964;07/03/1961;1200;;14.9;;;;
83964;08/03/1961;0000;21.2;;18.66;93.25;0.333333;
83964;08/03/1961;1200;;17.1;;;;
83964;09/03/1961;0000;29;;23.5;79.5;0;
83964;09/03/1961;1200;;17.1;;;;
83964;10/03/1961;0000;31.3;;23;84;0.333333;
83964;10/03/1961;1200;;19.5;;;;
83964;11/03/1961;0000;24.1;;20.36;92.75;0;
83964;11/03/1961;1200;;17.7;;;;
83964;12/03/1961;0000;24;;20.98;96.25;0;
83964;12/03/1961;1200;;18.5;;;;
83964;13/03/1961;0000;21.8;;17.74;96;0;
83964;13/03/1961;1200;;15.6;;;;
83964;14/03/1961;0000;26.1;;19.94;67;0;
83964;14/03/1961;1200;;14.2;;;;
83964;15/03/1961;0000;28;;22.26;71.5;0;
83964;15/03/1961;1200;;17.9;;;;
83964;16/03/1961;0000;23.2;;18.64;97.5;0.333333;
83964;16/03/1961;1200;;16.8;;;;
83964;17/03/1961;0000;17;;13.44;80.75;2;
83964;17/03/1961;1200;;11.9;;;;
83964;18/03/1961;0000;19.8;;14.66;73.5;1;
83964;18/03/1961;1200;;10.1;;;;
83964;19/03/1961;0000;20.8;;16.24;84.25;0.333333;
83964;19/03/1961;1200;;11.9;;;;
83964;20/03/1961;0000;20.8;;17.92;94;0.333333;
83964;20/03/1961;1200;;15.2;;;;
83964;21/03/1961;0000;25.1;;19.62;75.5;0.333333;
83964;21/03/1961;1200;;15.2;;;;
83964;22/03/1961;0000;26.8;;21.66;68.75;0.333333;
83964;22/03/1961;1200;;17.3;;;;
83964;23/03/1961;0000;30.1;;24.52;61;0;
83964;23/03/1961;1200;;19.3;;;;
83964;24/03/1961;0000;30.6;;24.78;64;0.333333;
83964;24/03/1961;1200;;20.9;;;;
83964;25/03/1961;0000;25.1;;20.3;93;0.666667;
83964;25/03/1961;1200;;17.2;;;;
83964;26/03/1961;0000;20.8;;16.74;78.75;1;
83964;26/03/1961;1200;;15.2;;;;
83964;27/03/1961;0000;20.4;;15.38;70.25;3;
83964;27/03/1961;1200;;11.9;;;;
83964;28/03/1961;0000;22.1;;17.18;71.75;1;
83964;28/03/1961;1200;;13.4;;;;
83964;29/03/1961;0000;23.1;;17.76;73.5;1;
83964;29/03/1961;1200;;13.2;;;;
83964;30/03/1961;0000;24.6;;18.58;57.5;0.666667;
83964;30/03/1961;1200;;14.1;;;;
83964;31/03/1961;0000;24.4;;19;74.25;0.666667;
83964;31/03/1961;1200;;14.2;;;;
83964;01/04/1961;0000;22.8;;18.42;87.25;0.333333;
83964;01/04/1961;1200;;12.2;;;;
83964;02/04/1961;0000;24.2;;18.52;81.25;0.666667;
83964;02/04/1961;1200;;15.1;;;;
83964;03/04/1961;0000;23.8;;17.92;88;0.333333;
83964;03/04/1961;1200;;15.9;;;;
83964;04/04/1961;0000;24.6;;18.3;83.5;0.666667;
83964;04/04/1961;1200;;15.7;;;;
83964;05/04/1961;0000;25.4;;18.28;77.75;0.666667;
83964;05/04/1961;1200;;14.1;;;;
83964;06/04/1961;0000;19.6;;12.7;59.75;0.666667;
83964;06/04/1961;1200;;8.1;;;;
83964;07/04/1961;0000;24.8;;16.86;77.75;1;
83964;07/04/1961;1200;;9.3;;;;
83964;08/04/1961;0000;26.8;;20.6;78;0.666667;
83964;08/04/1961;1200;;15.6;;;;
83964;09/04/1961;0000;23.2;;17.7;82.5;0.333333;
83964;09/04/1961;1200;;15.7;;;;
83964;10/04/1961;0000;21.8;;18.04;90;0.666667;
83964;10/04/1961;1200;;13.5;;;;
83964;11/04/1961;0000;19.8;;18.14;93.25;0.333333;
83964;11/04/1961;1200;;17.3;;;;
83964;12/04/1961;0000;20.4;;17;84;1;
83964;12/04/1961;1200;;13.9;;;;
83964;13/04/1961;0000;20.2;;16.7;89.75;0.666667;
83964;13/04/1961;1200;;13.9;;;;
83964;14/04/1961;0000;21;;17.62;87;1;
83964;14/04/1961;1200;;15.7;;;;
83964;15/04/1961;0000;20.4;;16.98;85.75;1;
83964;15/04/1961;1200;;15.7;;;;
83964;16/04/1961;0000;23.2;;18.86;87.5;0;
83964;16/04/1961;1200;;15.7;;;;
83964;17/04/1961;0000;20.4;;18.86;95.25;0;
83964;17/04/1961;1200;;17.1;;;;
83964;18/04/1961;0000;21.6;;16.88;85.25;1;
83964;18/04/1961;1200;;14.8;;;;
83964;19/04/1961;0000;18.4;;13.72;78.25;0.666667;
83964;19/04/1961;1200;;11.5;;;;
83964;20/04/1961;0000;19;;13.62;80.5;1;
83964;20/04/1961;1200;;10.7;;;;
83964;21/04/1961;0000;22.4;;16.78;79.5;0.333333;
83964;21/04/1961;1200;;12.7;;;;
83964;22/04/1961;0000;22.1;;17.6;78.5;0.666667;
83964;22/04/1961;1200;;15.3;;;;
83964;23/04/1961;0000;20.2;;15.6;71.75;1;
83964;23/04/1961;1200;;13.2;;;;
83964;24/04/1961;0000;15.4;;11.9;75.75;0.333333;
83964;24/04/1961;1200;;10.8;;;;
83964;25/04/1961;0000;16.6;;11.64;67.75;0;
83964;25/04/1961;1200;;8.2;;;;
83964;26/04/1961;0000;18.8;;13.34;71.25;0.333333;
83964;26/04/1961;1200;;9.5;;;;
83964;27/04/1961;0000;19.8;;13.78;75.5;1;
83964;27/04/1961;1200;;9.7;;;;
83964;28/04/1961;0000;16;;11.82;94.25;0.666667;
83964;28/04/1961;1200;;10.1;;;;
83964;29/04/1961;0000;17.1;;10.3;86.75;0;
83964;29/04/1961;1200;;4.5;;;;
83964;30/04/1961;0000;21;;15.18;80.5;0.333333;
83964;30/04/1961;1200;;10.5;;;;
83964;01/05/1961;0000;19.2;;13.68;81.25;1;
83964;01/05/1961;1200;;11.7;;;;
83964;02/05/1961;0000;19.6;;14.4;86.25;1;
83964;02/05/1961;1200;;12.2;;;;
83964;03/05/1961;0000;21;;15.58;86.25;1;
83964;03/05/1961;1200;;12.9;;;;
83964;04/05/1961;0000;22;;16.14;80.75;0.666667;
83964;04/05/1961;1200;;12.1;;;;
83964;05/05/1961;0000;24.4;;18.18;78.75;0.333333;
83964;05/05/1961;1200;;14.1;;;;
83964;06/05/1961;0000;21.4;;17.88;92.5;0.666667;
83964;06/05/1961;1200;;15.2;;;;
83964;07/05/1961;0000;21.1;;18.2;91.75;0.666667;
83964;07/05/1961;1200;;17.3;;;;
83964;08/05/1961;0000;18.8;;14.84;85.75;0.333333;
83964;08/05/1961;1200;;13.1;;;;
83964;09/05/1961;0000;20.1;;15;78;0.666667;
83964;09/05/1961;1200;;10.5;;;;
83964;10/05/1961;0000;18.1;;13.44;85.75;1.666667;
83964;10/05/1961;1200;;12.1;;;;
83964;11/05/1961;0000;21.6;;15.78;86;1;
83964;11/05/1961;1200;;11.9;;;;
83964;12/05/1961;0000;23.8;;18.02;76;0.666667;
83964;12/05/1961;1200;;13.9;;;;
83964;13/05/1961;0000;23.8;;18.5;76.5;0.333333;
83964;13/05/1961;1200;;16.2;;;;
83964;14/05/1961;0000;21.2;;16.02;86;1;
83964;14/05/1961;1200;;12.9;;;;
83964;15/05/1961;0000;19;;16.86;92;0.333333;
83964;15/05/1961;1200;;14.5;;;;
83964;16/05/1961;0000;17.2;;16.2;96.75;0.666667;
83964;16/05/1961;1200;;15.2;;;;
