--------------------
BDMEP - INMET
--------------------
Estação           : BAGE - RS (OMM: 83980)
Latitude  (graus) : -31.33
Longitude (graus) : -54.1
Altitude  (metros): 242.31
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83980;01/01/1961;0000;34.1;;26.38;57.25;0.666667;
83980;01/01/1961;1200;;16.7;;;;
83980;02/01/1961;0000;31.8;;27.1;64.25;2.333333;
83980;02/01/1961;1200;;20.2;;;;
83980;03/01/1961;0000;30.2;;23.42;65.5;3;
83980;03/01/1961;1200;;16.4;;;;
83980;04/01/1961;0000;30.7;;24.88;61.75;1;
83980;04/01/1961;1200;;16.7;;;;
83980;05/01/1961;0000;32;;25.42;59.75;3.666667;
83980;05/01/1961;1200;;17.5;;;;
83980;06/01/1961;0000;29.8;;23.86;64.25;3;
83980;06/01/1961;1200;;17.9;;;;
83980;07/01/1961;0000;30;;22.68;60.25;2.666667;
83980;07/01/1961;1200;;11.7;;;;
83980;08/01/1961;0000;35;;25.64;58.25;1.333333;
83980;08/01/1961;1200;;13.9;;;;
83980;09/01/1961;0000;37.7;;29.66;56.25;2.666667;
83980;09/01/1961;1200;;19.7;;;;
83980;10/01/1961;0000;32.9;;24.44;76.5;1.333333;
83980;10/01/1961;1200;;19.4;;;;
83980;11/01/1961;0000;30;;23.38;67.5;2.333333;
83980;11/01/1961;1200;;14.9;;;;
83980;12/01/1961;0000;33.7;;25.48;59.75;2.666667;
83980;12/01/1961;1200;;14.1;;;;
83980;13/01/1961;0000;37.6;;28.76;62;3.333333;
83980;13/01/1961;1200;;19.5;;;;
83980;14/01/1961;0000;34.6;;30.14;53.25;2;
83980;14/01/1961;1200;;26.1;;;;
83980;15/01/1961;0000;33;;27.82;64;2.333333;
83980;15/01/1961;1200;;24.2;;;;
83980;16/01/1961;0000;37.6;;30.06;57.5;1.333333;
83980;16/01/1961;1200;;23.1;;;;
83980;17/01/1961;0000;30.5;;23.32;92.5;0.333333;
83980;17/01/1961;1200;;21.1;;;;
83980;18/01/1961;0000;29.7;;22.92;70.75;2.333333;
83980;18/01/1961;1200;;16.2;;;;
83980;19/01/1961;0000;32.4;;25.64;65;2.333333;
83980;19/01/1961;1200;;17.1;;;;
83980;20/01/1961;0000;36;;28.76;60.25;2.333333;
83980;20/01/1961;1200;;20.1;;;;
83980;21/01/1961;0000;30.5;;24.24;82;3;
83980;21/01/1961;1200;;22;;;;
83980;22/01/1961;0000;28.3;;22.78;70.25;3.666667;
83980;22/01/1961;1200;;17.6;;;;
83980;23/01/1961;0000;31.1;;25.06;61.25;2;
83980;23/01/1961;1200;;17;;;;
83980;24/01/1961;0000;28.2;;22.06;62.5;3;
83980;24/01/1961;1200;;16.7;;;;
83980;25/01/1961;0000;25.2;;19.56;60;2.333333;
83980;25/01/1961;1200;;14.1;;;;
83980;26/01/1961;0000;26.9;;20.68;63;3.666667;
83980;26/01/1961;1200;;13.5;;;;
83980;27/01/1961;0000;26.8;;20.98;61.75;1;
83980;27/01/1961;1200;;14.1;;;;
83980;28/01/1961;0000;29.6;;23.52;57;2;
83980;28/01/1961;1200;;15.3;;;;
83980;29/01/1961;0000;31.3;;25.02;57.25;0.666667;
83980;29/01/1961;1200;;17.1;;;;
83980;30/01/1961;0000;33;;27.28;56.5;0.666667;
83980;30/01/1961;1200;;20.2;;;;
83980;31/01/1961;0000;35.6;;27.82;52.5;1.666667;
83980;31/01/1961;1200;;20.5;;;;
83980;01/02/1961;0000;29.5;;21.8;89;1;
83980;01/02/1961;1200;;17.4;;;;
83980;02/02/1961;0000;28.3;;23.28;76.5;0.666667;
83980;02/02/1961;1200;;18.9;;;;
83980;03/02/1961;0000;29.1;;23.26;70.75;2;
83980;03/02/1961;1200;;17.5;;;;
