--------------------
BDMEP - INMET
--------------------
Estação           : PELOTAS - RS (OMM: 83985)
Latitude  (graus) : -31.78
Longitude (graus) : -52.41
Altitude  (metros): 13.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;01/01/1961;0000;;;;74;2.666667;
83985;01/01/1961;1200;;18.6;;;;
83985;02/01/1961;0000;;;;63.5;3.333333;
83985;02/01/1961;1200;;17.4;;;;
83985;03/01/1961;0000;;;;67.75;2;
83985;03/01/1961;1200;;16.4;;;;
83985;04/01/1961;0000;;;;73.25;2;
83985;04/01/1961;1200;;17.8;;;;
83985;05/01/1961;0000;;;;68.5;5.333333;
83985;05/01/1961;1200;;17.8;;;;
83985;06/01/1961;0000;;;;64.25;3.333333;
83985;06/01/1961;1200;;17.2;;;;
83985;07/01/1961;0000;;;;77.5;2.666667;
83985;07/01/1961;1200;;9.4;;;;
83985;08/01/1961;0000;;;;68.5;3.333333;
83985;08/01/1961;1200;;14.6;;;;
83985;09/01/1961;0000;;;;81.25;4;
83985;09/01/1961;1200;;17.2;;;;
83985;10/01/1961;0000;;;;87.5;2.666667;
83985;10/01/1961;1200;;16.6;;;;
83985;11/01/1961;0000;;;;72.5;2.666667;
83985;11/01/1961;1200;;14.2;;;;
83985;12/01/1961;0000;;;;80;4;
83985;12/01/1961;1200;;16;;;;
83985;13/01/1961;0000;;;;74.75;2.666667;
83985;13/01/1961;1200;;22.2;;;;
83985;14/01/1961;0000;;;;74.25;2;
83985;14/01/1961;1200;;22.6;;;;
83985;15/01/1961;0000;;;;65.25;2;
83985;15/01/1961;1200;;23.2;;;;
83985;16/01/1961;0000;;;;79.75;0.666667;
83985;16/01/1961;1200;;22.4;;;;
83985;17/01/1961;0000;;;;85.25;2.666667;
83985;17/01/1961;1200;;19.4;;;;
83985;18/01/1961;0000;;;;74.25;2;
83985;18/01/1961;1200;;16.2;;;;
83985;19/01/1961;0000;;;;84.25;4;
83985;19/01/1961;1200;;18.8;;;;
