--------------------
BDMEP - INMET
--------------------
Estação           : RIO GRANDE - RS (OMM: 83995)
Latitude  (graus) : -32.03
Longitude (graus) : -52.11
Altitude  (metros): 2.46
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83995;01/01/1961;0000;30.6;;24.96;90;3.666667;
83995;01/01/1961;1200;;21.8;;;;
83995;02/01/1961;0000;29.8;;25.24;89;3.666667;
83995;02/01/1961;1200;;23.2;;;;
83995;03/01/1961;0000;25;;22.52;84.75;1.666667;
83995;03/01/1961;1200;;20.2;;;;
83995;04/01/1961;0000;27.8;;23.68;77.25;1;
83995;04/01/1961;1200;;20.4;;;;
83995;05/01/1961;0000;27.6;;23.88;85.25;2.666667;
83995;05/01/1961;1200;;21.2;;;;
83995;06/01/1961;0000;27;;21.32;82.5;5;
83995;06/01/1961;1200;;19;;;;
83995;07/01/1961;0000;23.8;;19.96;76.25;3.666667;
83995;07/01/1961;1200;;14;;;;
83995;08/01/1961;0000;26;;23.08;79;5;
83995;08/01/1961;1200;;19.2;;;;
83995;09/01/1961;0000;30.4;;24.92;88.25;6;
83995;09/01/1961;1200;;21.6;;;;
83995;10/01/1961;0000;27.2;;22.52;82.5;2.333333;
83995;10/01/1961;1200;;20.2;;;;
83995;11/01/1961;0000;25.2;;22.24;81.75;2;
83995;11/01/1961;1200;;19.8;;;;
83995;12/01/1961;0000;25.8;;22.8;93.5;3;
83995;12/01/1961;1200;;19.6;;;;
83995;13/01/1961;0000;31.6;;26.76;90;3;
83995;13/01/1961;1200;;22.8;;;;
83995;14/01/1961;0000;32.4;;27.16;92.5;1.666667;
83995;14/01/1961;1200;;24.6;;;;
83995;15/01/1961;0000;33;;27;93.75;2;
83995;15/01/1961;1200;;24.6;;;;
83995;16/01/1961;0000;28.6;;26.04;95.75;2.333333;
83995;16/01/1961;1200;;23.8;;;;
83995;17/01/1961;0000;27.2;;23.28;91.5;2.333333;
83995;17/01/1961;1200;;21.8;;;;
83995;18/01/1961;0000;24.4;;22.36;86.25;1.666667;
83995;18/01/1961;1200;;21;;;;
83995;19/01/1961;0000;27.2;;24.08;87.75;3.666667;
83995;19/01/1961;1200;;20.8;;;;
83995;20/01/1961;0000;31.4;;27.12;84;3.666667;
83995;20/01/1961;1200;;23.6;;;;
83995;21/01/1961;0000;27.4;;23.2;79.25;2;
83995;21/01/1961;1200;;21;;;;
83995;22/01/1961;0000;24;;21.84;66.25;1.666667;
83995;22/01/1961;1200;;20.2;;;;
83995;23/01/1961;0000;25.8;;22.68;69;2;
83995;23/01/1961;1200;;19.8;;;;
83995;24/01/1961;0000;25.8;;22.52;76.5;3.333333;
83995;24/01/1961;1200;;21.2;;;;
83995;25/01/1961;0000;23.6;;21.12;58;2.333333;
83995;25/01/1961;1200;;19.2;;;;
83995;26/01/1961;0000;26;;23.92;48.25;2.666667;
83995;26/01/1961;1200;;19.4;;;;
83995;27/01/1961;0000;26;;21.8;70.25;2;
83995;27/01/1961;1200;;18.6;;;;
83995;28/01/1961;0000;25.4;;22.36;72.5;2;
83995;28/01/1961;1200;;20;;;;
83995;29/01/1961;0000;26.2;;23.28;79.5;2;
83995;29/01/1961;1200;;20.6;;;;
83995;30/01/1961;0000;28;;23.8;82;2;
83995;30/01/1961;1200;;20.8;;;;
83995;31/01/1961;0000;30.6;;25.24;80.5;2.333333;
83995;31/01/1961;1200;;21.6;;;;
83995;01/02/1961;0000;28.8;;23.52;83.75;1.333333;
83995;01/02/1961;1200;;20.2;;;;
83995;02/02/1961;0000;26.4;;23.68;82.75;2;
83995;02/02/1961;1200;;22.2;;;;
83995;03/02/1961;0000;26.4;;23.44;72.5;1.666667;
83995;03/02/1961;1200;;21.6;;;;
83995;04/02/1961;0000;26.6;;23.12;66.5;1;
83995;04/02/1961;1200;;20.4;;;;
83995;05/02/1961;0000;26.4;;23.68;72.75;3.333333;
83995;05/02/1961;1200;;21.2;;;;
83995;06/02/1961;0000;26.6;;24.2;89;4;
83995;06/02/1961;1200;;22.2;;;;
83995;07/02/1961;0000;31.4;;25.92;73;2;
83995;07/02/1961;1200;;22.4;;;;
83995;08/02/1961;0000;26;;22.56;68.75;1.666667;
83995;08/02/1961;1200;;20.8;;;;
83995;09/02/1961;0000;26;;23.24;70.25;2.333333;
83995;09/02/1961;1200;;20;;;;
83995;10/02/1961;0000;28.6;;24.56;82.75;3.666667;
83995;10/02/1961;1200;;22;;;;
83995;11/02/1961;0000;27;;22.84;71;3;
83995;11/02/1961;1200;;20.8;;;;
83995;12/02/1961;0000;30.6;;24.6;65.75;1.333333;
83995;12/02/1961;1200;;19.4;;;;
83995;13/02/1961;0000;26;;22.44;57;3.333333;
83995;13/02/1961;1200;;21;;;;
83995;14/02/1961;0000;25;;22.44;63.75;2.333333;
83995;14/02/1961;1200;;20.2;;;;
83995;15/02/1961;0000;26.8;;23.32;72;5.666667;
83995;15/02/1961;1200;;20.4;;;;
83995;16/02/1961;0000;27.2;;23.84;73;4;
83995;16/02/1961;1200;;21.8;;;;
83995;17/02/1961;0000;27.4;;24.04;;6;
83995;17/02/1961;1200;;22;;;;
83995;18/02/1961;0000;28.6;;25.08;83.5;5;
83995;18/02/1961;1200;;22.6;;;;
83995;19/02/1961;0000;27.4;;24.4;88.5;4.666667;
83995;19/02/1961;1200;;22.2;;;;
83995;20/02/1961;0000;29.6;;25.72;88.25;1.666667;
