--------------------
BDMEP - INMET
--------------------
Estação           : SANTA VITORIA DO PALMAR - RS (OMM: 83997)
Latitude  (graus) : -33.51
Longitude (graus) : -53.35
Altitude  (metros): 24.01
Estação Operante
Inicio de operação: 01/10/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83997;01/01/1961;0000;32.4;;24.9;73.5;3.666667;
83997;01/01/1961;1200;;18.9;;;;
83997;02/01/1961;0000;29.4;;23.12;75.5;5.666667;
83997;02/01/1961;1200;;20;;;;
83997;03/01/1961;0000;24.7;;20.18;70.5;1.666667;
83997;03/01/1961;1200;;14.8;;;;
83997;04/01/1961;0000;28.1;;21.46;77;3;
83997;04/01/1961;1200;;17.2;;;;
83997;05/01/1961;0000;30.2;;23.2;67.5;4.333333;
83997;05/01/1961;1200;;18;;;;
83997;06/01/1961;0000;25.4;;18.48;62.5;5;
83997;06/01/1961;1200;;15.2;;;;
83997;07/01/1961;0000;27;;18.32;57;2.333333;
83997;07/01/1961;1200;;9.4;;;;
83997;08/01/1961;0000;29.7;;22.14;69.25;4.666667;
83997;08/01/1961;1200;;16.2;;;;
83997;09/01/1961;0000;32;;24.76;71.5;9;
83997;09/01/1961;1200;;20.2;;;;
83997;10/01/1961;0000;32;;22.08;66;4.333333;
83997;10/01/1961;1200;;17.6;;;;
83997;11/01/1961;0000;27;;20.68;63.5;3.333333;
83997;11/01/1961;1200;;15.8;;;;
83997;12/01/1961;0000;26.8;;22.04;72;5;
83997;12/01/1961;1200;;17;;;;
83997;13/01/1961;0000;31.4;;25.4;79.75;3;
83997;13/01/1961;1200;;21.4;;;;
83997;14/01/1961;0000;31;;25.6;84;1.666667;
83997;14/01/1961;1200;;20.8;;;;
83997;15/01/1961;0000;28.3;;25.12;86.5;2.666667;
83997;15/01/1961;1200;;23.7;;;;
83997;16/01/1961;0000;29.8;;25.52;79.25;3;
83997;16/01/1961;1200;;20.2;;;;
83997;17/01/1961;0000;26.2;;21.04;74.25;3.666667;
83997;17/01/1961;1200;;19.4;;;;
83997;18/01/1961;0000;25;;20.6;69.5;3;
83997;18/01/1961;1200;;15.8;;;;
83997;19/01/1961;0000;29.5;;23.44;81;4;
83997;19/01/1961;1200;;18.3;;;;
83997;20/01/1961;0000;35.6;;26;84.75;3;
83997;20/01/1961;1200;;22.6;;;;
83997;21/01/1961;0000;23.6;;20.54;74.75;4;
83997;21/01/1961;1200;;19.1;;;;
83997;22/01/1961;0000;23.7;;19.86;76.5;2.333333;
83997;22/01/1961;1200;;16.8;;;;
83997;23/01/1961;0000;28;;22.36;75.75;3.666667;
83997;23/01/1961;1200;;16.5;;;;
83997;24/01/1961;0000;23;;19.76;82.25;5.333333;
83997;24/01/1961;1200;;18.2;;;;
83997;25/01/1961;0000;22.2;;18.46;86.25;4;
83997;25/01/1961;1200;;15.3;;;;
83997;26/01/1961;0000;22.6;;18.88;78.25;2.666667;
83997;26/01/1961;1200;;16;;;;
83997;27/01/1961;0000;24.9;;19.88;73.5;4.666667;
83997;27/01/1961;1200;;14.7;;;;
83997;28/01/1961;0000;25.9;;20.7;82.25;1.666667;
83997;28/01/1961;1200;;15;;;;
83997;29/01/1961;0000;27.9;;22.12;83.5;2;
83997;29/01/1961;1200;;17;;;;
83997;30/01/1961;0000;31.8;;24.48;79.75;2.333333;
83997;30/01/1961;1200;;20;;;;
83997;31/01/1961;0000;31.6;;25.38;86;3;
83997;31/01/1961;1200;;20;;;;
83997;01/02/1961;0000;27.4;;22.84;88.25;2;
83997;01/02/1961;1200;;18.9;;;;
83997;02/02/1961;0000;26.4;;22.56;90.75;1.666667;
83997;02/02/1961;1200;;19.8;;;;
83997;03/02/1961;0000;28.4;;22.24;81.5;1;
83997;03/02/1961;1200;;17.4;;;;
83997;04/02/1961;0000;31.2;;23.72;81;1.666667;
83997;04/02/1961;1200;;17.6;;;;
83997;05/02/1961;0000;28.2;;22.56;83;2.666667;
83997;05/02/1961;1200;;18.7;;;;
83997;06/02/1961;0000;27.9;;23.9;91;3.333333;
83997;06/02/1961;1200;;19.6;;;;
83997;07/02/1961;0000;33;;23.52;83.5;4;
83997;07/02/1961;1200;;20.6;;;;
83997;08/02/1961;0000;24.9;;18.98;86;2.666667;
83997;08/02/1961;1200;;14;;;;
83997;09/02/1961;0000;27.7;;20.78;81.25;3;
83997;09/02/1961;1200;;14;;;;
83997;10/02/1961;0000;30.6;;23.84;87;3.666667;
83997;10/02/1961;1200;;18.4;;;;
83997;11/02/1961;0000;27.7;;20.78;84.75;3;
83997;11/02/1961;1200;;16.8;;;;
83997;12/02/1961;0000;33.6;;23.72;81.25;3;
83997;12/02/1961;1200;;17.6;;;;
83997;13/02/1961;0000;23.6;;19.24;77.5;3;
83997;13/02/1961;1200;;17;;;;
83997;14/02/1961;0000;26;;20.34;74.25;4.666667;
83997;14/02/1961;1200;;15.1;;;;
83997;15/02/1961;0000;28.4;;22.88;73;6;
83997;15/02/1961;1200;;19;;;;
83997;16/02/1961;0000;30.4;;23.56;77.25;8;
83997;16/02/1961;1200;;19.6;;;;
83997;17/02/1961;0000;32.5;;24.46;84;4;
83997;17/02/1961;1200;;20;;;;
83997;18/02/1961;0000;32;;25.02;85.75;3.666667;
83997;18/02/1961;1200;;21.5;;;;
83997;19/02/1961;0000;29;;24.86;87.25;5.666667;
83997;19/02/1961;1200;;22.7;;;;
83997;20/02/1961;0000;32.2;;25.62;88.5;2.666667;
83997;20/02/1961;1200;;22.3;;;;
83997;21/02/1961;0000;32.4;;25.78;85;2;
83997;21/02/1961;1200;;20.6;;;;
83997;22/02/1961;0000;31.6;;25.2;88.75;2;
83997;22/02/1961;1200;;22.8;;;;
83997;23/02/1961;0000;25;;20.84;78.75;3.666667;
83997;23/02/1961;1200;;19.2;;;;
83997;24/02/1961;0000;27.2;;22.2;83;2.333333;
83997;24/02/1961;1200;;18.2;;;;
83997;25/02/1961;0000;31.8;;24.36;88.75;2.666667;
83997;25/02/1961;1200;;20.1;;;;
83997;26/02/1961;0000;23.2;;19.88;76;5;
83997;26/02/1961;1200;;18.4;;;;
83997;27/02/1961;0000;21.7;;18.14;78.75;3.666667;
83997;27/02/1961;1200;;16.6;;;;
83997;28/02/1961;0000;23.8;;18.36;76.5;2.666667;
83997;28/02/1961;1200;;12.2;;;;
83997;01/03/1961;0000;26.4;;20.74;87.5;2.333333;
83997;01/03/1961;1200;;17.3;;;;
83997;02/03/1961;0000;29.2;;22.96;85;4;
83997;02/03/1961;1200;;18.3;;;;
83997;03/03/1961;0000;22.6;;19.9;96;2.666667;
83997;03/03/1961;1200;;18.5;;;;
83997;04/03/1961;0000;23.4;;18.96;80.5;3.666667;
83997;04/03/1961;1200;;15.4;;;;
83997;05/03/1961;0000;20.7;;17.12;73.75;6.333333;
83997;05/03/1961;1200;;15.3;;;;
83997;06/03/1961;0000;22.8;;17.84;73.25;2.333333;
83997;06/03/1961;1200;;13.2;;;;
83997;07/03/1961;0000;25;;20.08;82.5;3.666667;
83997;07/03/1961;1200;;15.4;;;;
83997;08/03/1961;0000;28.2;;22.08;87.25;3;
83997;08/03/1961;1200;;18.4;;;;
83997;09/03/1961;0000;30.5;;23.26;88;2.333333;
83997;09/03/1961;1200;;18.4;;;;
83997;10/03/1961;0000;29.4;;24.16;90.5;2;
83997;10/03/1961;1200;;21.4;;;;
83997;11/03/1961;0000;27;;22.36;87.75;3;
83997;11/03/1961;1200;;20.8;;;;
83997;12/03/1961;0000;26.3;;22.3;92;2.333333;
83997;12/03/1961;1200;;19.1;;;;
83997;13/03/1961;0000;24.8;;21.04;88;3;
83997;13/03/1961;1200;;19.6;;;;
83997;14/03/1961;0000;30.4;;22.84;78.25;2.666667;
83997;14/03/1961;1200;;16.6;;;;
83997;15/03/1961;0000;28.3;;23.3;86.75;2;
83997;15/03/1961;1200;;20;;;;
83997;16/03/1961;0000;23.4;;18.36;88;4.333333;
83997;16/03/1961;1200;;16;;;;
83997;17/03/1961;0000;20.2;;16.1;82.5;4;
83997;17/03/1961;1200;;12.9;;;;
83997;18/03/1961;0000;21.3;;14.7;86;3.333333;
83997;18/03/1961;1200;;10;;;;
83997;19/03/1961;0000;24.7;;17.1;79.25;2.333333;
83997;19/03/1961;1200;;9.9;;;;
83997;20/03/1961;0000;26.6;;20.64;86.5;2.333333;
83997;20/03/1961;1200;;15.4;;;;
83997;21/03/1961;0000;27.3;;20.94;89.75;1.666667;
83997;21/03/1961;1200;;18.4;;;;
83997;22/03/1961;0000;29.2;;22.28;86.25;2.666667;
83997;22/03/1961;1200;;18;;;;
83997;23/03/1961;0000;31.2;;23.52;85;2.333333;
83997;23/03/1961;1200;;17.6;;;;
83997;24/03/1961;0000;32.7;;24.86;84.25;3.666667;
83997;24/03/1961;1200;;20.6;;;;
83997;25/03/1961;0000;24;;20.32;96.25;3.666667;
83997;25/03/1961;1200;;19;;;;
83997;26/03/1961;0000;21.4;;17.56;80.5;4;
83997;26/03/1961;1200;;15.8;;;;
83997;27/03/1961;0000;22;;17;78.75;3.333333;
83997;27/03/1961;1200;;14.2;;;;
83997;28/03/1961;0000;25.5;;19.62;73;4.333333;
83997;28/03/1961;1200;;15.2;;;;
83997;29/03/1961;0000;26.7;;20.38;82;4;
83997;29/03/1961;1200;;16.6;;;;
83997;30/03/1961;0000;28.4;;20.9;80;3.666667;
83997;30/03/1961;1200;;16.8;;;;
83997;31/03/1961;0000;26.8;;21.94;84.5;3.666667;
83997;31/03/1961;1200;;18.3;;;;
83997;01/04/1961;0000;23.6;;18.3;84.5;3;
83997;01/04/1961;1200;;16.3;;;;
83997;02/04/1961;0000;22.7;;15.16;82.75;2;
83997;02/04/1961;1200;;10.5;;;;
83997;03/04/1961;0000;24.1;;17.58;89.25;3;
83997;03/04/1961;1200;;12.2;;;;
83997;04/04/1961;0000;24.6;;18.04;85;1.666667;
83997;04/04/1961;1200;;13;;;;
83997;05/04/1961;0000;24.4;;15.68;83.5;3.666667;
83997;05/04/1961;1200;;8.6;;;;
83997;06/04/1961;0000;19.1;;11.3;81.75;2;
83997;06/04/1961;1200;;6;;;;
83997;07/04/1961;0000;24;;16.48;82;2.333333;
83997;07/04/1961;1200;;8.5;;;;
83997;08/04/1961;0000;25;;19.52;93;2.666667;
83997;08/04/1961;1200;;17;;;;
83997;09/04/1961;0000;22.4;;15.6;87.5;1.666667;
83997;09/04/1961;1200;;12.4;;;;
83997;10/04/1961;0000;23.8;;16.76;91;3;
83997;10/04/1961;1200;;10.6;;;;
83997;11/04/1961;0000;23;;19.12;96.25;4.666667;
83997;11/04/1961;1200;;16.2;;;;
83997;12/04/1961;0000;24.1;;17.94;91.5;2.666667;
83997;12/04/1961;1200;;16.2;;;;
83997;13/04/1961;0000;24;;18.16;86.25;2.666667;
83997;13/04/1961;1200;;15.6;;;;
83997;14/04/1961;0000;24.4;;16.8;85.25;1.333333;
83997;14/04/1961;1200;;11.4;;;;
83997;15/04/1961;0000;24;;17.44;87.75;3.666667;
83997;15/04/1961;1200;;13.6;;;;
83997;16/04/1961;0000;24.6;;19.8;85.75;2.333333;
83997;16/04/1961;1200;;15;;;;
83997;17/04/1961;0000;24.8;;20.52;91.5;1.666667;
83997;17/04/1961;1200;;18.4;;;;
83997;18/04/1961;0000;21;;16.66;86.25;4;
83997;18/04/1961;1200;;14.7;;;;
83997;19/04/1961;0000;19.2;;13.32;73.75;2.666667;
83997;19/04/1961;1200;;10;;;;
