--------------------
BDMEP - INMET
--------------------
Estação           : QUIXERAMOBIM - CE (OMM: 82586)
Latitude  (graus) : -5.16
Longitude (graus) : -39.28
Altitude  (metros): 79.50
Estação Operante
Inicio de operação: 01/01/1896
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;
82586;01/01/1961;0000;34.3;;29.24;
82586;01/01/1961;1200;;25.6;;
82586;02/01/1961;0000;34.9;;30;
82586;02/01/1961;1200;;26.6;;
82586;03/01/1961;0000;34.5;;29.4;
82586;03/01/1961;1200;;26.7;;
82586;04/01/1961;0000;34.7;;29.9;
82586;04/01/1961;1200;;27;;
82586;05/01/1961;0000;34.4;;29.94;
82586;05/01/1961;1200;;26.4;;
82586;06/01/1961;0000;34.8;;30.12;
82586;06/01/1961;1200;;26.8;;
82586;07/01/1961;0000;34.5;;29.92;
82586;07/01/1961;1200;;26.7;;
82586;08/01/1961;0000;33.8;;29.38;
82586;08/01/1961;1200;;26.4;;
82586;09/01/1961;0000;32.9;;29.34;
82586;09/01/1961;1200;;25.9;;
82586;10/01/1961;0000;33.2;;29.34;
82586;10/01/1961;1200;;26.2;;
82586;11/01/1961;0000;34.2;;29.82;
82586;11/01/1961;1200;;26.4;;
82586;12/01/1961;0000;34.1;;29.92;
82586;12/01/1961;1200;;26.9;;
82586;13/01/1961;0000;34;;29;
82586;13/01/1961;1200;;22.6;;
82586;14/01/1961;0000;34.1;;29.5;
82586;14/01/1961;1200;;26.2;;
82586;15/01/1961;0000;34.4;;30.14;
82586;15/01/1961;1200;;26.5;;
82586;16/01/1961;0000;32.2;;28.92;
82586;16/01/1961;1200;;27.4;;
82586;17/01/1961;0000;32.8;;29.16;
82586;17/01/1961;1200;;26.6;;
82586;18/01/1961;0000;29.4;;26.74;
82586;18/01/1961;1200;;24.2;;
82586;19/01/1961;0000;31.6;;22.6;
82586;20/01/1961;0000;29.5;;26.22;
82586;20/01/1961;1200;;23.6;;
82586;21/01/1961;0000;30.8;;27.14;
82586;21/01/1961;1200;;23.8;;
82586;22/01/1961;0000;27.8;;25.68;
82586;22/01/1961;1200;;24.3;;
82586;23/01/1961;0000;28.8;;26.28;
82586;23/01/1961;1200;;24.1;;
82586;24/01/1961;0000;31.9;;28.36;
82586;24/01/1961;1200;;24.8;;
82586;25/01/1961;0000;32.2;;28.7;
82586;25/01/1961;1200;;26.5;;
82586;26/01/1961;0000;31.8;;28.88;
82586;26/01/1961;1200;;26.4;;
82586;27/01/1961;0000;32.2;;28.78;
82586;27/01/1961;1200;;26.8;;
82586;28/01/1961;0000;31.4;;28.8;
82586;28/01/1961;1200;;25.8;;
82586;29/01/1961;0000;32.2;;28.66;
82586;29/01/1961;1200;;25.6;;
82586;30/01/1961;0000;32.6;;29.3;
82586;30/01/1961;1200;;26.5;;
82586;31/01/1961;0000;32.7;;29.26;
82586;31/01/1961;1200;;26.9;;
82586;01/02/1961;0000;30.7;;28.56;
82586;01/02/1961;1200;;26.9;;
82586;02/02/1961;0000;29.5;;28.1;
82586;02/02/1961;1200;;26;;
82586;03/02/1961;0000;31.2;;28.06;
82586;03/02/1961;1200;;25.5;;
82586;04/02/1961;0000;31.2;;28.44;
82586;04/02/1961;1200;;25.6;;
82586;05/02/1961;0000;30.7;;28.22;
82586;05/02/1961;1200;;26;;
82586;06/02/1961;0000;31.9;;28.22;
82586;06/02/1961;1200;;25.9;;
82586;07/02/1961;0000;28.4;;25.5;
82586;07/02/1961;1200;;24.1;;
82586;08/02/1961;0000;29.3;;26.2;
82586;08/02/1961;1200;;22.9;;
82586;09/02/1961;0000;28.1;;25.98;
82586;09/02/1961;1200;;24.1;;
82586;10/02/1961;0000;29.5;;26.14;
82586;10/02/1961;1200;;23.4;;
82586;11/02/1961;0000;29.3;;26.76;
82586;11/02/1961;1200;;25;;
82586;12/02/1961;0000;28.5;;25.96;
82586;12/02/1961;1200;;24.4;;
82586;13/02/1961;0000;29.8;;26.32;
82586;13/02/1961;1200;;24;;
82586;14/02/1961;0000;30.6;;27.06;
82586;14/02/1961;1200;;23.3;;
82586;15/02/1961;0000;28.5;;26.24;
82586;15/02/1961;1200;;25;;
82586;16/02/1961;0000;26.3;;24.98;
82586;16/02/1961;1200;;23.7;;
82586;17/02/1961;0000;27.5;;25.08;
82586;17/02/1961;1200;;23.3;;
82586;18/02/1961;0000;29.9;;25.86;
82586;18/02/1961;1200;;23.4;;
82586;19/02/1961;0000;29.6;;26.78;
82586;19/02/1961;1200;;25;;
82586;20/02/1961;0000;29.8;;26.5;
82586;20/02/1961;1200;;24.7;;
82586;21/02/1961;0000;29.4;;25.98;
82586;21/02/1961;1200;;24.7;;
82586;22/02/1961;0000;29.4;;26.9;
82586;22/02/1961;1200;;24.6;;
82586;23/02/1961;0000;30;;26.74;
82586;23/02/1961;1200;;24.9;;
82586;24/02/1961;0000;28.5;;26.64;
82586;24/02/1961;1200;;24.9;;
82586;25/02/1961;0000;30.2;;27.6;
82586;25/02/1961;1200;;24.9;;
82586;26/02/1961;0000;30.1;;27.64;
82586;26/02/1961;1200;;25.8;;
82586;27/02/1961;0000;31.2;;24.68;
82586;27/02/1961;1200;;20.8;;
82586;28/02/1961;0000;31.8;;25.76;
82586;28/02/1961;1200;;21.8;;
82586;01/03/1961;0000;31.8;;26.88;
82586;01/03/1961;1200;;23.2;;
82586;02/03/1961;0000;32.3;;26.92;
82586;02/03/1961;1200;;23.5;;
82586;03/03/1961;0000;31.5;;26.22;
82586;03/03/1961;1200;;23.6;;
82586;04/03/1961;0000;32.6;;27.04;
82586;04/03/1961;1200;;23.2;;
82586;05/03/1961;0000;31.4;;26.16;
82586;05/03/1961;1200;;22.3;;
82586;06/03/1961;0000;32.5;;26.66;
82586;06/03/1961;1200;;22.4;;
82586;07/03/1961;0000;32.5;;26.54;
82586;07/03/1961;1200;;22.8;;
82586;08/03/1961;0000;33.4;;27.2;
82586;08/03/1961;1200;;21.7;;
82586;09/03/1961;0000;34.5;;27.62;
82586;09/03/1961;1200;;24.2;;
82586;10/03/1961;0000;33.1;;27.68;
82586;10/03/1961;1200;;23.1;;
82586;11/03/1961;0000;34.2;;27.8;
82586;11/03/1961;1200;;23.9;;
82586;12/03/1961;0000;32.9;;27.02;
82586;12/03/1961;1200;;23.1;;
82586;13/03/1961;0000;30;;25.56;
82586;13/03/1961;1200;;23.2;;
82586;14/03/1961;0000;30.3;;24.86;
82586;14/03/1961;1200;;22.2;;
82586;15/03/1961;0000;28.6;;24.6;
82586;15/03/1961;1200;;22.2;;
82586;16/03/1961;0000;32;;26.44;
82586;16/03/1961;1200;;22.2;;
