--------------------
BDMEP - INMET
--------------------
Estação           : PEDRO AFONSO - TO (OMM: 82863)
Latitude  (graus) : -8.96
Longitude (graus) : -48.18
Altitude  (metros): 187.00
Estação Operante
Inicio de operação: 04/03/1977
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;
82863;04/03/1977;0000;29.6;;24.52;
82863;04/03/1977;1200;;22.8;;
82863;05/03/1977;0000;29;;24.68;
82863;05/03/1977;1200;;22;;
82863;06/03/1977;0000;30.2;;25.64;
82863;06/03/1977;1200;;22.6;;
82863;07/03/1977;0000;32.4;;26.36;
82863;07/03/1977;1200;;22.6;;
82863;08/03/1977;0000;33;;25.84;
82863;08/03/1977;1200;;23.2;;
82863;09/03/1977;0000;30.6;;26.2;
82863;09/03/1977;1200;;22.2;;
82863;10/03/1977;0000;27;;26;
82863;10/03/1977;1200;;23;;
82863;11/03/1977;0000;29.6;;25.2;
82863;11/03/1977;1200;;22;;
82863;12/03/1977;0000;31.8;;25.72;
82863;12/03/1977;1200;;22.8;;
82863;13/03/1977;0000;30.2;;25.68;
82863;13/03/1977;1200;;22.4;;
82863;14/03/1977;0000;29.6;;24.96;
82863;14/03/1977;1200;;23;;
82863;15/03/1977;0000;30.2;;24.88;
82863;15/03/1977;1200;;22.2;;
82863;16/03/1977;0000;31.6;;26.12;
82863;16/03/1977;1200;;21.2;;
82863;17/03/1977;0000;31.4;;27.32;
82863;17/03/1977;1200;;23.2;;
82863;18/03/1977;0000;31.6;;25.16;
82863;18/03/1977;1200;;22.4;;
82863;19/03/1977;0000;31.6;;24.84;
82863;19/03/1977;1200;;21.4;;
82863;20/03/1977;0000;30.4;;24.72;
82863;20/03/1977;1200;;22.4;;
82863;21/03/1977;0000;30;;24.76;
82863;21/03/1977;1200;;22.6;;
82863;22/03/1977;0000;28.8;;24.64;
82863;22/03/1977;1200;;21.6;;
82863;23/03/1977;0000;33;;26;
82863;23/03/1977;1200;;22.2;;
82863;24/03/1977;0000;31.8;;26.84;
82863;24/03/1977;1200;;22.6;;
82863;25/03/1977;0000;27.6;;25.32;
82863;25/03/1977;1200;;23.6;;
82863;26/03/1977;0000;33.4;;27.2;
82863;26/03/1977;1200;;22;;
82863;27/03/1977;0000;29.2;;25.76;
82863;27/03/1977;1200;;23.2;;
82863;28/03/1977;0000;33.2;;25.56;
82863;28/03/1977;1200;;23;;
82863;29/03/1977;0000;29.8;;25.8;
82863;29/03/1977;1200;;22.2;;
82863;30/03/1977;0000;33;;27.88;
82863;30/03/1977;1200;;24;;
82863;31/03/1977;0000;27.8;;23.96;
82863;31/03/1977;1200;;22.4;;
82863;01/04/1977;0000;29.8;;24.24;
82863;01/04/1977;1200;;22;;
82863;02/04/1977;0000;28.2;;25.08;
82863;02/04/1977;1200;;22.2;;
82863;03/04/1977;0000;28.8;;24.28;
82863;03/04/1977;1200;;20.6;;
82863;04/04/1977;0000;30.2;;24.32;
82863;04/04/1977;1200;;21.8;;
82863;05/04/1977;0000;30;;25.12;
82863;05/04/1977;1200;;21.6;;
82863;06/04/1977;0000;31;;26.4;
82863;06/04/1977;1200;;22.8;;
82863;07/04/1977;0000;30.6;;25.88;
82863;07/04/1977;1200;;23.4;;
82863;08/04/1977;0000;28;;25.08;
82863;08/04/1977;1200;;22.4;;
82863;09/04/1977;0000;28.8;;25.2;
82863;09/04/1977;1200;;22.2;;
82863;10/04/1977;0000;32.8;;27;
82863;10/04/1977;1200;;23;;
82863;11/04/1977;0000;33.4;;27.56;
82863;11/04/1977;1200;;23;;
82863;12/04/1977;0000;33.8;;27.18;
82863;12/04/1977;1200;;23.4;;
82863;13/04/1977;0000;29.2;;26.52;
82863;13/04/1977;1200;;25.4;;
82863;14/04/1977;0000;32.4;;26.36;
82863;14/04/1977;1200;;22.4;;
82863;15/04/1977;0000;31.8;;26.98;
82863;15/04/1977;1200;;23.3;;
82863;16/04/1977;0000;32.8;;27.12;
82863;16/04/1977;1200;;23;;
82863;17/04/1977;0000;33.6;;26.84;
82863;17/04/1977;1200;;21.8;;
82863;18/04/1977;0000;33.4;;28.08;
82863;18/04/1977;1200;;23.2;;
82863;19/04/1977;0000;25.4;;23.96;
82863;19/04/1977;1200;;23;;
82863;20/04/1977;0000;32;;26.24;
82863;20/04/1977;1200;;22.4;;
82863;21/04/1977;0000;26;;23.88;
82863;21/04/1977;1200;;22.6;;
82863;22/04/1977;0000;31.8;;26.24;
82863;22/04/1977;1200;;22;;
82863;23/04/1977;0000;28;;26.32;
82863;23/04/1977;1200;;22.2;;
82863;24/04/1977;0000;30;;25.68;
82863;24/04/1977;1200;;22.4;;
82863;25/04/1977;0000;30.8;;25.72;
82863;25/04/1977;1200;;23.4;;
82863;26/04/1977;0000;27.4;;24.12;
82863;26/04/1977;1200;;22;;
82863;27/04/1977;0000;30.2;;24.96;
82863;27/04/1977;1200;;22.6;;
82863;28/04/1977;0000;27;;24.32;
82863;28/04/1977;1200;;23.2;;
82863;29/04/1977;0000;28.4;;24.88;
82863;29/04/1977;1200;;22.8;;
82863;30/04/1977;0000;27.4;;23.96;
82863;30/04/1977;1200;;21.6;;
82863;01/05/1977;0000;35.6;;25.92;
82863;01/05/1977;1200;;22.2;;
82863;02/05/1977;0000;24.8;;23.56;
82863;02/05/1977;1200;;22.6;;
82863;03/05/1977;0000;30.4;;25.32;
82863;03/05/1977;1200;;21.6;;
82863;04/05/1977;0000;32.4;;26.32;
82863;04/05/1977;1200;;22.2;;
82863;05/05/1977;0000;32;;26.2;
82863;05/05/1977;1200;;22.2;;
82863;06/05/1977;0000;27.6;;25.08;
82863;06/05/1977;1200;;22.4;;
82863;07/05/1977;0000;31.8;;26;
82863;07/05/1977;1200;;22.4;;
82863;08/05/1977;0000;32;;25.68;
82863;08/05/1977;1200;;21.4;;
82863;09/05/1977;0000;32;;26.4;
82863;09/05/1977;1200;;22;;
82863;10/05/1977;0000;32.4;;26.48;
82863;10/05/1977;1200;;22.6;;
82863;11/05/1977;0000;32.4;;25.96;
82863;11/05/1977;1200;;21.6;;
82863;12/05/1977;0000;32.8;;26.32;
82863;12/05/1977;1200;;21.4;;
82863;13/05/1977;0000;32.8;;27.08;
82863;13/05/1977;1200;;23.4;;
82863;14/05/1977;0000;26.2;;24.4;
82863;14/05/1977;1200;;23;;
82863;15/05/1977;0000;31.4;;26;
82863;15/05/1977;1200;;21.6;;
82863;16/05/1977;0000;29.8;;25.2;
82863;16/05/1977;1200;;21.6;;
82863;17/05/1977;0000;26.2;;23.6;
82863;17/05/1977;1200;;21;;
82863;18/05/1977;0000;25.8;;22.48;
82863;18/05/1977;1200;;19.8;;
82863;19/05/1977;0000;31;;24.76;
82863;19/05/1977;1200;;20.2;;
82863;20/05/1977;0000;31.8;;26.08;
82863;20/05/1977;1200;;22.2;;
82863;21/05/1977;0000;29.8;;25.84;
82863;21/05/1977;1200;;22.6;;
82863;22/05/1977;0000;31.6;;26.12;
82863;22/05/1977;1200;;22.2;;
82863;23/05/1977;0000;32;;26.04;
82863;23/05/1977;1200;;21.6;;
82863;24/05/1977;0000;30.6;;24.96;
82863;24/05/1977;1200;;20.4;;
82863;25/05/1977;0000;32.2;;25.88;
82863;25/05/1977;1200;;22.2;;
82863;26/05/1977;0000;30.8;;25.56;
82863;26/05/1977;1200;;21;;
82863;27/05/1977;0000;31;;26.36;
82863;27/05/1977;1200;;23;;
82863;28/05/1977;0000;32.2;;26.56;
82863;28/05/1977;1200;;22.8;;
82863;29/05/1977;0000;32;;26.32;
82863;29/05/1977;1200;;22.2;;
82863;30/05/1977;0000;32.4;;26.2;
82863;30/05/1977;1200;;22.6;;
82863;31/05/1977;0000;32;;25.56;
82863;31/05/1977;1200;;22.6;;
82863;01/06/1977;0000;32.4;;25.16;
82863;01/06/1977;1200;;20;;
82863;02/06/1977;0000;29.4;;24.8;
82863;02/06/1977;1200;;20.6;;
82863;03/06/1977;0000;31.6;;25.48;
82863;03/06/1977;1200;;21.4;;
82863;04/06/1977;0000;31.6;;25.8;
82863;04/06/1977;1200;;21.2;;
82863;05/06/1977;0000;32;;25.72;
82863;05/06/1977;1200;;21.4;;
82863;06/06/1977;0000;33;;26;
82863;06/06/1977;1200;;21;;
82863;07/06/1977;0000;32.6;;26.24;
82863;07/06/1977;1200;;21.8;;
82863;08/06/1977;0000;27.4;;24.28;
82863;08/06/1977;1200;;22.6;;
82863;09/06/1977;0000;30;;24.62;
82863;09/06/1977;1200;;21.3;;
82863;10/06/1977;0000;28.8;;24.76;
82863;10/06/1977;1200;;22.6;;
82863;11/06/1977;0000;27.4;;24;
82863;11/06/1977;1200;;21.4;;
82863;12/06/1977;0000;30;;25.2;
82863;12/06/1977;1200;;22.4;;
82863;13/06/1977;0000;31.8;;25.68;
82863;13/06/1977;1200;;22;;
82863;14/06/1977;0000;31.8;;24.52;
82863;14/06/1977;1200;;19.4;;
82863;15/06/1977;0000;32;;25.12;
82863;15/06/1977;1200;;20;;
82863;16/06/1977;0000;32.6;;25.32;
82863;16/06/1977;1200;;20.2;;
82863;17/06/1977;0000;32.4;;25.4;
82863;17/06/1977;1200;;20;;
82863;18/06/1977;0000;32.2;;25.2;
82863;18/06/1977;1200;;20;;
82863;19/06/1977;0000;31.8;;26;
82863;19/06/1977;1200;;21.8;;
82863;20/06/1977;0000;31.6;;24.92;
82863;20/06/1977;1200;;20.8;;
82863;21/06/1977;0000;31.8;;24.32;
82863;21/06/1977;1200;;18.8;;
82863;22/06/1977;0000;33;;24.8;
82863;22/06/1977;1200;;18.4;;
82863;23/06/1977;0000;32.6;;25.22;
82863;23/06/1977;1200;;19.6;;
82863;24/06/1977;0000;32.8;;25.96;
82863;24/06/1977;1200;;20.2;;
82863;25/06/1977;0000;32.6;;24.92;
82863;25/06/1977;1200;;19.6;;
82863;26/06/1977;0000;32;;24.24;
82863;26/06/1977;1200;;18.4;;
82863;27/06/1977;0000;32.8;;24.52;
82863;27/06/1977;1200;;18.6;;
82863;28/06/1977;0000;32;;23.68;
82863;28/06/1977;1200;;17.4;;
