--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINA - MG (OMM: 83538)
Latitude  (graus) : -18.23
Longitude (graus) : -43.64
Altitude  (metros): 1296.12
Estação Operante
Inicio de operação: 13/04/1918
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;
83538;01/01/1961;0000;21.9;;19.82;
83538;01/01/1961;1200;;18;;
83538;02/01/1961;0000;21.3;;19.18;
83538;02/01/1961;1200;;17.6;;
83538;03/01/1961;0000;24.3;;19.66;
83538;03/01/1961;1200;;16.6;;
83538;04/01/1961;0000;20.3;;18.1;
83538;04/01/1961;1200;;16.4;;
83538;05/01/1961;0000;21.7;;19.42;
83538;05/01/1961;1200;;16.8;;
83538;06/01/1961;0000;23.7;;19.3;
83538;06/01/1961;1200;;17;;
83538;07/01/1961;0000;24.5;;19.7;
83538;07/01/1961;1200;;17.2;;
83538;08/01/1961;0000;23.1;;19.94;
83538;08/01/1961;1200;;17.8;;
83538;09/01/1961;0000;25.5;;20.98;
83538;09/01/1961;1200;;18;;
83538;10/01/1961;0000;23.3;;19.26;
83538;10/01/1961;1200;;17;;
83538;11/01/1961;0000;23.7;;19.34;
83538;11/01/1961;1200;;17.6;;
83538;12/01/1961;0000;18.5;;16.7;
83538;12/01/1961;1200;;15.8;;
83538;13/01/1961;0000;19.7;;17.42;
83538;13/01/1961;1200;;15.8;;
83538;14/01/1961;0000;21.3;;17.1;
83538;14/01/1961;1200;;15.2;;
83538;15/01/1961;0000;21.9;;18.22;
83538;15/01/1961;1200;;16.6;;
83538;16/01/1961;0000;24.1;;18.66;
83538;16/01/1961;1200;;16.8;;
83538;17/01/1961;0000;24.9;;20.22;
83538;17/01/1961;1200;;16.6;;
83538;18/01/1961;0000;25.9;;21.34;
83538;18/01/1961;1200;;17.8;;
83538;19/01/1961;0000;27.5;;22.22;
83538;19/01/1961;1200;;19;;
83538;20/01/1961;0000;22.7;;19.22;
83538;20/01/1961;1200;;17;;
