--------------------
BDMEP - INMET
--------------------
Estação           : MANICORE - AM (OMM: 82533)
Latitude  (graus) : -5.81
Longitude (graus) : -61.3
Altitude  (metros): 50.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Umidade Relativa Media;Velocidade do Vento Media;
82533;01/01/1961;0000;;1;
82533;02/01/1961;0000;;0.666667;
82533;03/01/1961;0000;;1;
82533;04/01/1961;0000;;1;
82533;05/01/1961;0000;;0.333333;
82533;06/01/1961;0000;;2;
82533;07/01/1961;0000;;0.333333;
82533;08/01/1961;0000;;0.666667;
82533;09/01/1961;0000;;1.333333;
82533;10/01/1961;0000;;1;
82533;11/01/1961;0000;;1;
82533;12/01/1961;0000;;1;
82533;13/01/1961;0000;;0.333333;
82533;14/01/1961;0000;;0.333333;
82533;15/01/1961;0000;;0.666667;
82533;16/01/1961;0000;;1.333333;
82533;17/01/1961;0000;;0.333333;
82533;18/01/1961;0000;;0.666667;
82533;19/01/1961;0000;;0.333333;
82533;20/01/1961;0000;;0.666667;
82533;21/01/1961;0000;;1.333333;
82533;22/01/1961;0000;;1;
82533;23/01/1961;0000;;1;
82533;24/01/1961;0000;;1;
82533;25/01/1961;0000;;1;
82533;26/01/1961;0000;;0.666667;
82533;27/01/1961;0000;;2;
82533;28/01/1961;0000;;0.666667;
82533;29/01/1961;0000;;0.666667;
82533;30/01/1961;0000;;0.666667;
82533;31/01/1961;0000;;1.333333;
82533;01/02/1961;0000;;2;
82533;02/02/1961;0000;;0.333333;
82533;03/02/1961;0000;;2.333333;
82533;04/02/1961;0000;;1.666667;
82533;05/02/1961;0000;;0.333333;
82533;06/02/1961;0000;;2;
82533;07/02/1961;0000;;0.666667;
82533;08/02/1961;0000;;1.333333;
82533;09/02/1961;0000;;3;
82533;10/02/1961;0000;;1;
82533;11/02/1961;0000;;0;
82533;12/02/1961;0000;;1.333333;
82533;13/02/1961;0000;;0.333333;
82533;14/02/1961;0000;;2;
82533;15/02/1961;0000;;2;
82533;16/02/1961;0000;;1.333333;
