--------------------
BDMEP - INMET
--------------------
Estação           : PEDRO AFONSO - TO (OMM: 82863)
Latitude  (graus) : -8.96
Longitude (graus) : -48.18
Altitude  (metros): 187.00
Estação Operante
Inicio de operação: 04/03/1977
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Umidade Relativa Media;Velocidade do Vento Media;
82863;04/03/1977;0000;94.5;0;
82863;05/03/1977;0000;92.25;0;
82863;06/03/1977;0000;87.25;0;
82863;07/03/1977;0000;82;0.666667;
82863;08/03/1977;0000;85;0;
82863;09/03/1977;0000;83.75;0;
82863;10/03/1977;0000;83;0;
82863;11/03/1977;0000;88.5;0;
82863;12/03/1977;0000;89.5;0;
82863;13/03/1977;0000;86.25;0;
82863;14/03/1977;0000;88.5;0.666667;
82863;15/03/1977;0000;88.25;0;
82863;16/03/1977;0000;83;0;
82863;17/03/1977;0000;82.5;0;
82863;18/03/1977;0000;84.75;0;
82863;19/03/1977;0000;90.25;0;
82863;20/03/1977;0000;89.25;0;
82863;21/03/1977;0000;91.5;0.333333;
82863;22/03/1977;0000;88.5;0;
82863;23/03/1977;0000;87;0;
82863;24/03/1977;0000;87.5;0;
82863;25/03/1977;0000;90;1;
82863;26/03/1977;0000;82.25;0;
82863;27/03/1977;0000;90.25;0;
82863;28/03/1977;0000;87.25;0.666667;
82863;29/03/1977;0000;92.25;0;
82863;30/03/1977;0000;82.75;0;
82863;31/03/1977;0000;94.75;1;
82863;01/04/1977;0000;96.25;0;
82863;02/04/1977;0000;92.5;0;
82863;03/04/1977;0000;91.5;0.666667;
82863;04/04/1977;0000;89.5;0;
82863;05/04/1977;0000;89.25;0;
82863;06/04/1977;0000;87;0;
82863;07/04/1977;0000;89.5;0;
82863;08/04/1977;0000;94;0;
82863;09/04/1977;0000;92;0;
82863;10/04/1977;0000;94.25;0;
82863;11/04/1977;0000;91.25;0;
82863;12/04/1977;0000;83.5;0;
82863;13/04/1977;0000;90.25;1.333333;
82863;14/04/1977;0000;86.25;0.666667;
82863;15/04/1977;0000;87;0;
82863;16/04/1977;0000;81.75;0.666667;
82863;17/04/1977;0000;91;0;
82863;18/04/1977;0000;85.5;0;
82863;19/04/1977;0000;96.25;0.666667;
82863;20/04/1977;0000;91.75;0;
82863;21/04/1977;0000;97.5;0;
82863;22/04/1977;0000;88.25;0;
82863;23/04/1977;0000;78.5;0;
82863;24/04/1977;0000;95;0;
82863;25/04/1977;0000;92.75;0.666667;
82863;26/04/1977;0000;97;0;
82863;27/04/1977;0000;97.25;0.666667;
82863;28/04/1977;0000;95.5;0;
82863;29/04/1977;0000;92.75;0;
82863;30/04/1977;0000;96.75;0.666667;
82863;01/05/1977;0000;96.5;0;
82863;02/05/1977;0000;98.25;1;
82863;03/05/1977;0000;85.25;0.666667;
82863;04/05/1977;0000;92;0;
82863;05/05/1977;0000;86.75;0;
82863;06/05/1977;0000;97.5;0;
82863;07/05/1977;0000;92;0;
82863;08/05/1977;0000;93;0;
82863;09/05/1977;0000;84.75;0;
82863;10/05/1977;0000;93;0;
82863;11/05/1977;0000;92;0;
82863;12/05/1977;0000;91.25;0;
82863;13/05/1977;0000;89;0;
82863;14/05/1977;0000;96;0.666667;
82863;15/05/1977;0000;92.25;0;
82863;16/05/1977;0000;95;0;
82863;17/05/1977;0000;96.75;0;
82863;18/05/1977;0000;94;1.333333;
82863;19/05/1977;0000;93;0;
82863;20/05/1977;0000;85.25;0;
82863;21/05/1977;0000;95.25;0;
82863;22/05/1977;0000;86;0;
82863;23/05/1977;0000;86.5;0;
82863;24/05/1977;0000;93.25;0;
82863;25/05/1977;0000;87;0.666667;
82863;26/05/1977;0000;83.25;0;
82863;27/05/1977;0000;90.75;0;
82863;28/05/1977;0000;89.5;1.333333;
82863;29/05/1977;0000;90.25;0;
82863;30/05/1977;0000;90.5;0;
82863;31/05/1977;0000;92;1.333333;
82863;01/06/1977;0000;91;1.333333;
82863;02/06/1977;0000;95.75;0;
82863;03/06/1977;0000;92.75;0;
82863;04/06/1977;0000;91.75;0;
82863;05/06/1977;0000;93.5;0;
82863;06/06/1977;0000;97.5;0;
82863;07/06/1977;0000;94.5;0;
82863;08/06/1977;0000;94.25;1;
82863;09/06/1977;0000;93.5;0;
82863;10/06/1977;0000;95.25;0;
82863;11/06/1977;0000;94.25;0;
82863;12/06/1977;0000;91.75;0;
82863;13/06/1977;0000;89.5;2;
82863;14/06/1977;0000;89;0;
82863;15/06/1977;0000;87.75;1.333333;
82863;16/06/1977;0000;88.25;0;
82863;17/06/1977;0000;86.5;0.666667;
82863;18/06/1977;0000;88.75;0;
82863;19/06/1977;0000;87;1.333333;
82863;20/06/1977;0000;84.75;1.333333;
82863;21/06/1977;0000;86.25;0.333333;
82863;22/06/1977;0000;86.5;1.333333;
82863;23/06/1977;0000;67;1.333333;
82863;24/06/1977;0000;82.75;0;
82863;25/06/1977;0000;85;1.333333;
82863;26/06/1977;0000;85;0;
82863;27/06/1977;0000;89;3.333333;
82863;28/06/1977;0000;87;1.666667;
82863;29/06/1977;0000;87;2;
82863;30/06/1977;0000;88.75;2.666667;
82863;01/07/1977;0000;87.5;2;
82863;02/07/1977;0000;87;1;
82863;03/07/1977;0000;86.5;2;
82863;04/07/1977;0000;87.75;2.333333;
82863;05/07/1977;0000;87.5;3;
82863;06/07/1977;0000;84;1;
82863;07/07/1977;0000;85.5;1;
82863;08/07/1977;0000;87.5;1;
82863;09/07/1977;0000;87.75;1;
82863;10/07/1977;0000;89.25;1.333333;
82863;11/07/1977;0000;88;0;
82863;12/07/1977;0000;88.25;1;
82863;13/07/1977;0000;87.5;0;
82863;14/07/1977;0000;89;0;
82863;15/07/1977;0000;87;0;
82863;16/07/1977;0000;88.5;0;
82863;17/07/1977;0000;86.25;1;
82863;18/07/1977;0000;79.75;0;
82863;19/07/1977;0000;84.25;1;
82863;20/07/1977;0000;89;0;
82863;21/07/1977;0000;88.5;0.666667;
82863;22/07/1977;0000;86.75;0;
82863;23/07/1977;0000;87.5;1;
82863;24/07/1977;0000;86.75;1;
82863;25/07/1977;0000;87.5;1;
82863;26/07/1977;0000;86.5;0.666667;
82863;27/07/1977;0000;87;0.666667;
82863;28/07/1977;0000;88.25;0;
82863;29/07/1977;0000;86.25;0.333333;
82863;30/07/1977;0000;87.25;0.666667;
82863;31/07/1977;0000;91;0;
82863;01/08/1977;0000;83;1;
82863;02/08/1977;0000;84.5;1;
82863;03/08/1977;0000;84.75;1;
82863;04/08/1977;0000;84;0.666667;
82863;05/08/1977;0000;83.5;1;
82863;06/08/1977;0000;84.25;0.666667;
82863;07/08/1977;0000;83.75;0.666667;
82863;08/08/1977;0000;82;0;
82863;09/08/1977;0000;81;0.333333;
82863;10/08/1977;0000;83;1;
82863;11/08/1977;0000;84.75;1;
82863;12/08/1977;0000;83.25;0.333333;
82863;13/08/1977;0000;86.5;0;
82863;14/08/1977;0000;84.5;1;
82863;15/08/1977;0000;79.5;0;
82863;16/08/1977;0000;82.25;0;
82863;17/08/1977;0000;75.75;1;
82863;18/08/1977;0000;83;0.666667;
82863;19/08/1977;0000;84;0;
82863;20/08/1977;0000;81.25;1.333333;
82863;21/08/1977;0000;86.75;0;
82863;22/08/1977;0000;83;1;
82863;23/08/1977;0000;86.75;1;
82863;24/08/1977;0000;89.25;0;
82863;25/08/1977;0000;87.75;0.666667;
82863;26/08/1977;0000;85.5;1;
82863;27/08/1977;0000;87.75;1;
82863;28/08/1977;0000;89.5;0;
82863;29/08/1977;0000;87.25;0;
82863;30/08/1977;0000;85.25;0.666667;
82863;31/08/1977;0000;82.5;0;
82863;01/09/1977;0000;86.75;0;
82863;02/09/1977;0000;85.25;0;
82863;03/09/1977;0000;86;0;
82863;04/09/1977;0000;84;0.666667;
82863;05/09/1977;0000;87.25;0;
82863;06/09/1977;0000;82;1;
82863;07/09/1977;0000;78.5;1.933333;
82863;08/09/1977;0000;80.25;1.333333;
82863;09/09/1977;0000;80.25;0;
82863;10/09/1977;0000;83.25;0;
82863;11/09/1977;0000;88;0.333333;
82863;12/09/1977;0000;85.25;0;
82863;13/09/1977;0000;86.5;1;
82863;14/09/1977;0000;85.75;0.333333;
