--------------------
BDMEP - INMET
--------------------
Estação           : CARINHANHA - BA (OMM: 83408)
Latitude  (graus) : -14.28
Longitude (graus) : -43.76
Altitude  (metros): 450.18
Estação Operante
Inicio de operação: 01/12/1927
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Umidade Relativa Media;Velocidade do Vento Media;
83408;01/01/1977;0000;68.25;2.233333;
83408;02/01/1977;0000;49.25;2.566667;
83408;03/01/1977;0000;74;1.5;
83408;04/01/1977;0000;78;1.1;
83408;05/01/1977;0000;80.25;2.8;
83408;06/01/1977;0000;81.75;3.233333;
83408;07/01/1977;0000;76.5;2.2;
83408;08/01/1977;0000;52.75;2.866667;
83408;09/01/1977;0000;54.75;3.933333;
83408;10/01/1977;0000;48;4.2;
83408;11/01/1977;0000;56;3.533333;
83408;12/01/1977;0000;49.5;2.8;
83408;13/01/1977;0000;55;1.866667;
83408;14/01/1977;0000;64.5;2.766667;
83408;15/01/1977;0000;38;3.7;
83408;16/01/1977;0000;45.75;1.1;
83408;17/01/1977;0000;56;2.633333;
83408;18/01/1977;0000;84.75;2.066667;
83408;19/01/1977;0000;82.75;2.266667;
83408;20/01/1977;0000;91;3.166667;
83408;21/01/1977;0000;92.5;2.333333;
83408;22/01/1977;0000;83.25;1.866667;
83408;23/01/1977;0000;85.25;2.733333;
83408;24/01/1977;0000;88;1.966667;
83408;25/01/1977;0000;86;2.566667;
83408;26/01/1977;0000;92.25;1.933333;
83408;27/01/1977;0000;80;2.1;
83408;28/01/1977;0000;87.75;2.466667;
83408;29/01/1977;0000;87;2.333333;
83408;30/01/1977;0000;92;1.566667;
83408;31/01/1977;0000;83.75;2.766667;
83408;01/02/1977;0000;83.5;1.566667;
83408;02/02/1977;0000;89.5;1.4;
83408;03/02/1977;0000;82.5;1.466667;
83408;04/02/1977;0000;70.75;2.066667;
83408;05/02/1977;0000;66.75;2.766667;
83408;06/02/1977;0000;67;2.2;
83408;07/02/1977;0000;69.25;2.266667;
83408;08/02/1977;0000;66.25;0.766667;
83408;09/02/1977;0000;60;3.666667;
83408;10/02/1977;0000;62;3;
83408;11/02/1977;0000;65.25;3.133333;
83408;12/02/1977;0000;68;3.566667;
83408;13/02/1977;0000;65.5;3.566667;
83408;14/02/1977;0000;66;3.2;
83408;15/02/1977;0000;63.75;3.366667;
83408;16/02/1977;0000;62;2.533333;
83408;17/02/1977;0000;80.25;2.5;
83408;18/02/1977;0000;64.25;2.966667;
83408;19/02/1977;0000;63.25;2.9;
83408;20/02/1977;0000;72;4.833333;
83408;21/02/1977;0000;66;2.6;
83408;22/02/1977;0000;80.75;2.4;
83408;23/02/1977;0000;64;3.4;
83408;24/02/1977;0000;65.5;5.233333;
83408;25/02/1977;0000;84;3.533333;
83408;26/02/1977;0000;59.75;3.3;
83408;27/02/1977;0000;66.75;3.5;
83408;28/02/1977;0000;65.75;2.8;
83408;01/03/1977;0000;63.25;2.2;
83408;02/03/1977;0000;50;2.466667;
83408;03/03/1977;0000;52.75;1.533333;
83408;04/03/1977;0000;52.25;2.966667;
83408;05/03/1977;0000;55.25;3.2;
83408;06/03/1977;0000;56.25;4.133333;
83408;07/03/1977;0000;52.25;3.066667;
83408;08/03/1977;0000;46.5;2.766667;
83408;09/03/1977;0000;45.75;2.3;
83408;10/03/1977;0000;53.5;2.233333;
83408;11/03/1977;0000;43;1.966667;
83408;12/03/1977;0000;52.25;1.233333;
83408;13/03/1977;0000;45.25;2.433333;
83408;14/03/1977;0000;49;2.466667;
83408;15/03/1977;0000;44.75;2.466667;
83408;16/03/1977;0000;54.5;1.866667;
83408;17/03/1977;0000;48.5;1.366667;
83408;18/03/1977;0000;58.25;2.833333;
83408;19/03/1977;0000;65.75;0.966667;
83408;20/03/1977;0000;36;2.233333;
83408;21/03/1977;0000;33.25;1.7;
83408;22/03/1977;0000;45;2.466667;
83408;23/03/1977;0000;49.75;2.166667;
83408;24/03/1977;0000;47.5;2.966667;
83408;25/03/1977;0000;44.75;1.5;
83408;26/03/1977;0000;46.25;2.633333;
83408;27/03/1977;0000;42;2.3;
83408;28/03/1977;0000;45.75;2.1;
83408;29/03/1977;0000;44.5;2.766667;
83408;30/03/1977;0000;68.5;2.333333;
83408;31/03/1977;0000;88;2.3;
83408;01/04/1977;0000;76.75;2.1;
83408;02/04/1977;0000;72.25;2.633333;
83408;03/04/1977;0000;76.75;1.733333;
83408;04/04/1977;0000;59;2.833333;
83408;05/04/1977;0000;63.5;1.366667;
83408;06/04/1977;0000;67;1.466667;
83408;07/04/1977;0000;58;3.3;
83408;08/04/1977;0000;56;1.666667;
83408;09/04/1977;0000;54.75;1.833333;
83408;10/04/1977;0000;47.5;1.366667;
83408;11/04/1977;0000;40;2.333333;
83408;12/04/1977;0000;49.25;4.466667;
83408;13/04/1977;0000;40;2.333333;
83408;14/04/1977;0000;55.75;3.133333;
83408;15/04/1977;0000;49;3.433333;
83408;16/04/1977;0000;59;3.566667;
83408;17/04/1977;0000;50.25;2.533333;
83408;18/04/1977;0000;43.75;1.466667;
83408;19/04/1977;0000;52.75;1.866667;
83408;20/04/1977;0000;68;3.033333;
83408;21/04/1977;0000;76.75;1.4;
83408;22/04/1977;0000;85;2.8;
83408;23/04/1977;0000;87.25;2.233333;
83408;24/04/1977;0000;80;0.666667;
83408;25/04/1977;0000;86.25;1.033333;
83408;26/04/1977;0000;57;2.066667;
83408;27/04/1977;0000;55.75;1.533333;
83408;28/04/1977;0000;55.75;1.833333;
83408;29/04/1977;0000;;3.95;
83408;01/05/1977;0000;59;2.966667;
