--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINA - MG (OMM: 83538)
Latitude  (graus) : -18.23
Longitude (graus) : -43.64
Altitude  (metros): 1296.12
Estação Operante
Inicio de operação: 13/04/1918
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Umidade Relativa Media;Velocidade do Vento Media;
83538;01/01/1961;0000;93.5;3;
83538;02/01/1961;0000;95.25;3.666667;
83538;03/01/1961;0000;87.25;5;
83538;04/01/1961;0000;95.75;5.333333;
83538;05/01/1961;0000;88.25;3.666667;
83538;06/01/1961;0000;91.25;4.333333;
83538;07/01/1961;0000;85;3.666667;
83538;08/01/1961;0000;93.5;3.666667;
83538;09/01/1961;0000;85.5;3;
83538;10/01/1961;0000;88.75;5;
83538;11/01/1961;0000;89.5;3.666667;
83538;12/01/1961;0000;97;5.333333;
83538;13/01/1961;0000;93.75;5;
83538;14/01/1961;0000;91.5;4.333333;
83538;15/01/1961;0000;86.25;4.333333;
83538;16/01/1961;0000;86.5;3.666667;
83538;17/01/1961;0000;76.25;3.666667;
83538;18/01/1961;0000;69.75;3.666667;
83538;19/01/1961;0000;73.25;3.666667;
83538;20/01/1961;0000;84.75;5;
83538;21/01/1961;0000;89;5;
83538;22/01/1961;0000;86.75;3.666667;
83538;23/01/1961;0000;79.75;3.666667;
83538;24/01/1961;0000;96.5;3.666667;
83538;25/01/1961;0000;90.75;5;
83538;26/01/1961;0000;96;3.666667;
83538;27/01/1961;0000;97.5;5;
83538;28/01/1961;0000;90.25;5;
83538;29/01/1961;0000;87.5;5.333333;
83538;30/01/1961;0000;93.25;5;
83538;31/01/1961;0000;86.75;4.333333;
83538;01/02/1961;0000;79;2.666667;
83538;02/02/1961;0000;75;3.666667;
83538;03/02/1961;0000;68.5;3.666667;
83538;04/02/1961;0000;72.5;3;
83538;05/02/1961;0000;73.75;3.666667;
83538;06/02/1961;0000;74.25;3.666667;
83538;07/02/1961;0000;68.25;3;
83538;08/02/1961;0000;54.5;3;
83538;09/02/1961;0000;72.5;3;
83538;10/02/1961;0000;74.5;3;
83538;11/02/1961;0000;81.75;5;
83538;12/02/1961;0000;89.25;5;
83538;13/02/1961;0000;77.5;5;
83538;14/02/1961;0000;93.5;5;
83538;15/02/1961;0000;93.75;3.666667;
83538;16/02/1961;0000;76.25;3.666667;
83538;17/02/1961;0000;61.5;3.666667;
83538;18/02/1961;0000;71.5;3;
83538;19/02/1961;0000;71.5;3.666667;
83538;20/02/1961;0000;77.5;4.333333;
83538;21/02/1961;0000;83.75;3.666667;
83538;22/02/1961;0000;72.25;4.333333;
83538;23/02/1961;0000;76;3;
